province,speculation,type_culture,year,rendement
Bale,arachide,pure,2012,974
Bale,arachide,pure,2013,1071
Bale,arachide,pure,2014,916
Bale,arachide,pure,2015,939
Bale,arachide,pure,2016,1085
Bale,arachide,pure,2017,534
Bale,arachide,pure,2018,945
Bale,arachide,pure,2019,900
Bale,arachide,pure,2020,1064
Bale,arachide,pure,2021,940
Banwa,arachide,pure,2012,665
Banwa,arachide,pure,2013,819
Banwa,arachide,pure,2014,981
Banwa,arachide,pure,2015,717
Banwa,arachide,pure,2016,939
Banwa,arachide,pure,2017,657
Banwa,arachide,pure,2018,905
Banwa,arachide,pure,2019,996
Banwa,arachide,pure,2020,1137
Banwa,arachide,pure,2021,925
Kossi,arachide,pure,2012,865
Kossi,arachide,pure,2013,714
Kossi,arachide,pure,2014,651
Kossi,arachide,pure,2015,868
Kossi,arachide,pure,2016,824
Kossi,arachide,pure,2017,720
Kossi,arachide,pure,2018,674
Kossi,arachide,pure,2019,704
Kossi,arachide,pure,2020,804
Kossi,arachide,pure,2021,537
Mouhoun,arachide,pure,2012,828
Mouhoun,arachide,pure,2013,905
Mouhoun,arachide,pure,2014,911
Mouhoun,arachide,pure,2015,627
Mouhoun,arachide,pure,2016,773
Mouhoun,arachide,pure,2017,686
Mouhoun,arachide,pure,2018,788
Mouhoun,arachide,pure,2019,876
Mouhoun,arachide,pure,2020,880
Mouhoun,arachide,pure,2021,659
Nayala,arachide,pure,2012,743
Nayala,arachide,pure,2013,917
Nayala,arachide,pure,2014,928
Nayala,arachide,pure,2015,835
Nayala,arachide,pure,2016,621
Nayala,arachide,pure,2017,527
Nayala,arachide,pure,2018,842
Nayala,arachide,pure,2019,730
Nayala,arachide,pure,2020,824
Nayala,arachide,pure,2021,706
Sourou,arachide,pure,2012,988
Sourou,arachide,pure,2013,1006
Sourou,arachide,pure,2014,932
Sourou,arachide,pure,2015,905
Sourou,arachide,pure,2016,446
Sourou,arachide,pure,2017,522
Sourou,arachide,pure,2018,759
Sourou,arachide,pure,2019,685
Sourou,arachide,pure,2020,761
Sourou,arachide,pure,2021,700
Comoe,arachide,pure,2012,912
Comoe,arachide,pure,2013,780
Comoe,arachide,pure,2014,973
Comoe,arachide,pure,2015,921
Comoe,arachide,pure,2016,1317
Comoe,arachide,pure,2017,1032
Comoe,arachide,pure,2018,1046
Comoe,arachide,pure,2019,1065
Comoe,arachide,pure,2020,903
Comoe,arachide,pure,2021,984
Leraba,arachide,pure,2012,888
Leraba,arachide,pure,2013,1008
Leraba,arachide,pure,2014,1121
Leraba,arachide,pure,2015,874
Leraba,arachide,pure,2016,1091
Leraba,arachide,pure,2017,880
Leraba,arachide,pure,2018,1134
Leraba,arachide,pure,2019,1020
Leraba,arachide,pure,2020,915
Leraba,arachide,pure,2021,967
Kadiogo,arachide,pure,2012,839
Kadiogo,arachide,pure,2013,1177
Kadiogo,arachide,pure,2014,1030
Kadiogo,arachide,pure,2015,842
Kadiogo,arachide,pure,2016,831
Kadiogo,arachide,pure,2017,693
Kadiogo,arachide,pure,2018,798
Kadiogo,arachide,pure,2019,913
Kadiogo,arachide,pure,2020,874
Kadiogo,arachide,pure,2021,738
Boulgou,arachide,pure,2012,936
Boulgou,arachide,pure,2013,577
Boulgou,arachide,pure,2014,919
Boulgou,arachide,pure,2015,1040
Boulgou,arachide,pure,2016,937
Boulgou,arachide,pure,2017,474
Boulgou,arachide,pure,2018,978
Boulgou,arachide,pure,2019,752
Boulgou,arachide,pure,2020,1179
Boulgou,arachide,pure,2021,929
Koulpelogo,arachide,pure,2012,400
Koulpelogo,arachide,pure,2013,510
Koulpelogo,arachide,pure,2014,706
Koulpelogo,arachide,pure,2015,544
Koulpelogo,arachide,pure,2016,778
Koulpelogo,arachide,pure,2017,903
Koulpelogo,arachide,pure,2018,659
Koulpelogo,arachide,pure,2019,886
Koulpelogo,arachide,pure,2020,714
Koulpelogo,arachide,pure,2021,773
Kouritenga,arachide,pure,2012,842
Kouritenga,arachide,pure,2013,615
Kouritenga,arachide,pure,2014,1157
Kouritenga,arachide,pure,2015,1101
Kouritenga,arachide,pure,2016,1155
Kouritenga,arachide,pure,2017,638
Kouritenga,arachide,pure,2018,1152
Kouritenga,arachide,pure,2019,1214
Kouritenga,arachide,pure,2020,942
Kouritenga,arachide,pure,2021,923
Bam,arachide,pure,2012,634
Bam,arachide,pure,2013,370
Bam,arachide,pure,2014,631
Bam,arachide,pure,2015,655
Bam,arachide,pure,2016,460
Bam,arachide,pure,2017,366
Bam,arachide,pure,2018,629
Bam,arachide,pure,2019,882
Bam,arachide,pure,2020,906
Bam,arachide,pure,2021,499
Namentenga,arachide,pure,2012,466
Namentenga,arachide,pure,2013,729
Namentenga,arachide,pure,2014,702
Namentenga,arachide,pure,2015,723
Namentenga,arachide,pure,2016,439
Namentenga,arachide,pure,2017,361
Namentenga,arachide,pure,2018,779
Namentenga,arachide,pure,2019,638
Namentenga,arachide,pure,2020,763
Namentenga,arachide,pure,2021,561
Sanmatenga,arachide,pure,2012,761
Sanmatenga,arachide,pure,2013,566
Sanmatenga,arachide,pure,2014,662
Sanmatenga,arachide,pure,2015,718
Sanmatenga,arachide,pure,2016,596
Sanmatenga,arachide,pure,2017,365
Sanmatenga,arachide,pure,2018,902
Sanmatenga,arachide,pure,2019,674
Sanmatenga,arachide,pure,2020,784
Sanmatenga,arachide,pure,2021,480
Boulkiemde,arachide,pure,2012,522
Boulkiemde,arachide,pure,2013,627
Boulkiemde,arachide,pure,2014,606
Boulkiemde,arachide,pure,2015,763
Boulkiemde,arachide,pure,2016,833
Boulkiemde,arachide,pure,2017,492
Boulkiemde,arachide,pure,2018,878
Boulkiemde,arachide,pure,2019,686
Boulkiemde,arachide,pure,2020,876
Boulkiemde,arachide,pure,2021,699
Sanguie,arachide,pure,2012,805
Sanguie,arachide,pure,2013,706
Sanguie,arachide,pure,2014,1011
Sanguie,arachide,pure,2015,1002
Sanguie,arachide,pure,2016,857
Sanguie,arachide,pure,2017,753
Sanguie,arachide,pure,2018,1145
Sanguie,arachide,pure,2019,966
Sanguie,arachide,pure,2020,909
Sanguie,arachide,pure,2021,691
Sissili,arachide,pure,2012,865
Sissili,arachide,pure,2013,989
Sissili,arachide,pure,2014,1312
Sissili,arachide,pure,2015,934
Sissili,arachide,pure,2016,1183
Sissili,arachide,pure,2017,829
Sissili,arachide,pure,2018,1003
Sissili,arachide,pure,2019,987
Sissili,arachide,pure,2020,1012
Sissili,arachide,pure,2021,1049
Ziro,arachide,pure,2012,684
Ziro,arachide,pure,2013,792
Ziro,arachide,pure,2014,941
Ziro,arachide,pure,2015,1010
Ziro,arachide,pure,2016,972
Ziro,arachide,pure,2017,588
Ziro,arachide,pure,2018,758
Ziro,arachide,pure,2019,678
Ziro,arachide,pure,2020,836
Ziro,arachide,pure,2021,727
Bazega,arachide,pure,2012,756
Bazega,arachide,pure,2013,732
Bazega,arachide,pure,2014,840
Bazega,arachide,pure,2015,921
Bazega,arachide,pure,2016,1093
Bazega,arachide,pure,2017,659
Bazega,arachide,pure,2018,874
Bazega,arachide,pure,2019,1082
Bazega,arachide,pure,2020,1066
Bazega,arachide,pure,2021,697
Nahouri,arachide,pure,2012,980
Nahouri,arachide,pure,2013,849
Nahouri,arachide,pure,2014,981
Nahouri,arachide,pure,2015,1032
Nahouri,arachide,pure,2016,861
Nahouri,arachide,pure,2017,697
Nahouri,arachide,pure,2018,888
Nahouri,arachide,pure,2019,1146
Nahouri,arachide,pure,2020,922
Nahouri,arachide,pure,2021,906
Zoundweogo,arachide,pure,2012,884
Zoundweogo,arachide,pure,2013,842
Zoundweogo,arachide,pure,2014,1187
Zoundweogo,arachide,pure,2015,1040
Zoundweogo,arachide,pure,2016,1206
Zoundweogo,arachide,pure,2017,842
Zoundweogo,arachide,pure,2018,1019
Zoundweogo,arachide,pure,2019,1111
Zoundweogo,arachide,pure,2020,1046
Zoundweogo,arachide,pure,2021,877
Gnagna,arachide,pure,2012,652
Gnagna,arachide,pure,2013,580
Gnagna,arachide,pure,2014,737
Gnagna,arachide,pure,2015,602
Gnagna,arachide,pure,2016,755
Gnagna,arachide,pure,2017,284
Gnagna,arachide,pure,2018,557
Gnagna,arachide,pure,2019,569
Gnagna,arachide,pure,2020,748
Gnagna,arachide,pure,2021,443
Gourma,arachide,pure,2012,564
Gourma,arachide,pure,2013,560
Gourma,arachide,pure,2014,602
Gourma,arachide,pure,2015,574
Gourma,arachide,pure,2016,608
Gourma,arachide,pure,2017,575
Gourma,arachide,pure,2018,565
Gourma,arachide,pure,2019,539
Gourma,arachide,pure,2020,716
Gourma,arachide,pure,2021,534
Komandjoari,arachide,pure,2012,622
Komandjoari,arachide,pure,2013,369
Komandjoari,arachide,pure,2014,855
Komandjoari,arachide,pure,2015,547
Komandjoari,arachide,pure,2016,378
Komandjoari,arachide,pure,2017,313
Komandjoari,arachide,pure,2018,415
Komandjoari,arachide,pure,2019,401
Komandjoari,arachide,pure,2020,594
Komandjoari,arachide,pure,2021,503
Kompienga,arachide,pure,2012,844
Kompienga,arachide,pure,2013,848
Kompienga,arachide,pure,2014,479
Kompienga,arachide,pure,2015,793
Kompienga,arachide,pure,2016,498
Kompienga,arachide,pure,2017,786
Kompienga,arachide,pure,2018,727
Kompienga,arachide,pure,2019,502
Kompienga,arachide,pure,2020,886
Kompienga,arachide,pure,2021,728
Tapoa,arachide,pure,2012,704
Tapoa,arachide,pure,2013,569
Tapoa,arachide,pure,2014,624
Tapoa,arachide,pure,2015,690
Tapoa,arachide,pure,2016,640
Tapoa,arachide,pure,2017,673
Tapoa,arachide,pure,2018,870
Tapoa,arachide,pure,2019,745
Tapoa,arachide,pure,2020,974
Tapoa,arachide,pure,2021,777
Houet,arachide,pure,2012,808
Houet,arachide,pure,2013,1061
Houet,arachide,pure,2014,1081
Houet,arachide,pure,2015,983
Houet,arachide,pure,2016,956
Houet,arachide,pure,2017,841
Houet,arachide,pure,2018,1024
Houet,arachide,pure,2019,1009
Houet,arachide,pure,2020,1017
Houet,arachide,pure,2021,746
Kenedougou,arachide,pure,2012,761
Kenedougou,arachide,pure,2013,696
Kenedougou,arachide,pure,2014,900
Kenedougou,arachide,pure,2015,809
Kenedougou,arachide,pure,2016,884
Kenedougou,arachide,pure,2017,934
Kenedougou,arachide,pure,2018,846
Kenedougou,arachide,pure,2019,877
Kenedougou,arachide,pure,2020,816
Kenedougou,arachide,pure,2021,791
Tuy,arachide,pure,2012,923
Tuy,arachide,pure,2013,923
Tuy,arachide,pure,2014,1038
Tuy,arachide,pure,2015,1254
Tuy,arachide,pure,2016,950
Tuy,arachide,pure,2017,741
Tuy,arachide,pure,2018,816
Tuy,arachide,pure,2019,1040
Tuy,arachide,pure,2020,835
Tuy,arachide,pure,2021,966
Loroum,arachide,pure,2012,896
Loroum,arachide,pure,2013,654
Loroum,arachide,pure,2014,770
Loroum,arachide,pure,2015,937
Loroum,arachide,pure,2016,624
Loroum,arachide,pure,2017,603
Loroum,arachide,pure,2018,837
Loroum,arachide,pure,2019,819
Loroum,arachide,pure,2020,1038
Loroum,arachide,pure,2021,658
Passore,arachide,pure,2012,974
Passore,arachide,pure,2013,774
Passore,arachide,pure,2014,792
Passore,arachide,pure,2015,675
Passore,arachide,pure,2016,475
Passore,arachide,pure,2017,497
Passore,arachide,pure,2018,767
Passore,arachide,pure,2019,773
Passore,arachide,pure,2020,802
Passore,arachide,pure,2021,163
Yatenga,arachide,pure,2012,665
Yatenga,arachide,pure,2013,728
Yatenga,arachide,pure,2014,863
Yatenga,arachide,pure,2015,871
Yatenga,arachide,pure,2016,585
Yatenga,arachide,pure,2017,657
Yatenga,arachide,pure,2018,885
Yatenga,arachide,pure,2019,766
Yatenga,arachide,pure,2020,972
Yatenga,arachide,pure,2021,395
Zondoma,arachide,pure,2012,877
Zondoma,arachide,pure,2013,772
Zondoma,arachide,pure,2014,1150
Zondoma,arachide,pure,2015,983
Zondoma,arachide,pure,2016,661
Zondoma,arachide,pure,2017,685
Zondoma,arachide,pure,2018,1013
Zondoma,arachide,pure,2019,894
Zondoma,arachide,pure,2020,1158
Zondoma,arachide,pure,2021,378
Ganzourgou,arachide,pure,2012,894
Ganzourgou,arachide,pure,2013,859
Ganzourgou,arachide,pure,2014,813
Ganzourgou,arachide,pure,2015,953
Ganzourgou,arachide,pure,2016,951
Ganzourgou,arachide,pure,2017,640
Ganzourgou,arachide,pure,2018,650
Ganzourgou,arachide,pure,2019,746
Ganzourgou,arachide,pure,2020,986
Ganzourgou,arachide,pure,2021,792
Kourweogo,arachide,pure,2012,660
Kourweogo,arachide,pure,2013,665
Kourweogo,arachide,pure,2014,643
Kourweogo,arachide,pure,2015,652
Kourweogo,arachide,pure,2016,651
Kourweogo,arachide,pure,2017,314
Kourweogo,arachide,pure,2018,650
Kourweogo,arachide,pure,2019,666
Kourweogo,arachide,pure,2020,901
Kourweogo,arachide,pure,2021,774
Oubritenga,arachide,pure,2012,830
Oubritenga,arachide,pure,2013,748
Oubritenga,arachide,pure,2014,921
Oubritenga,arachide,pure,2015,912
Oubritenga,arachide,pure,2016,803
Oubritenga,arachide,pure,2017,410
Oubritenga,arachide,pure,2018,959
Oubritenga,arachide,pure,2019,766
Oubritenga,arachide,pure,2020,981
Oubritenga,arachide,pure,2021,768
Oudalan,arachide,pure,2012,
Oudalan,arachide,pure,2013,
Oudalan,arachide,pure,2014,5
Oudalan,arachide,pure,2015,16
Oudalan,arachide,pure,2016,333
Oudalan,arachide,pure,2017,476
Oudalan,arachide,pure,2018,401
Oudalan,arachide,pure,2019,365
Oudalan,arachide,pure,2020,
Oudalan,arachide,pure,2021,
Seno,arachide,pure,2012,540
Seno,arachide,pure,2013,1014
Seno,arachide,pure,2014,677
Seno,arachide,pure,2015,525
Seno,arachide,pure,2016,647
Seno,arachide,pure,2017,546
Seno,arachide,pure,2018,470
Seno,arachide,pure,2019,700
Seno,arachide,pure,2020,645
Seno,arachide,pure,2021,627
Soum,arachide,pure,2012,368
Soum,arachide,pure,2013,372
Soum,arachide,pure,2014,420
Soum,arachide,pure,2015,447
Soum,arachide,pure,2016,387
Soum,arachide,pure,2017,269
Soum,arachide,pure,2018,610
Soum,arachide,pure,2019,354
Soum,arachide,pure,2020,533
Soum,arachide,pure,2021,337
Yagha,arachide,pure,2012,717
Yagha,arachide,pure,2013,673
Yagha,arachide,pure,2014,416
Yagha,arachide,pure,2015,513
Yagha,arachide,pure,2016,636
Yagha,arachide,pure,2017,599
Yagha,arachide,pure,2018,634
Yagha,arachide,pure,2019,489
Yagha,arachide,pure,2020,1048
Yagha,arachide,pure,2021,524
Bougouriba,arachide,pure,2012,642
Bougouriba,arachide,pure,2013,564
Bougouriba,arachide,pure,2014,684
Bougouriba,arachide,pure,2015,740
Bougouriba,arachide,pure,2016,1125
Bougouriba,arachide,pure,2017,845
Bougouriba,arachide,pure,2018,878
Bougouriba,arachide,pure,2019,1145
Bougouriba,arachide,pure,2020,1072
Bougouriba,arachide,pure,2021,934
Ioba,arachide,pure,2012,633
Ioba,arachide,pure,2013,528
Ioba,arachide,pure,2014,985
Ioba,arachide,pure,2015,868
Ioba,arachide,pure,2016,914
Ioba,arachide,pure,2017,724
Ioba,arachide,pure,2018,855
Ioba,arachide,pure,2019,1085
Ioba,arachide,pure,2020,783
Ioba,arachide,pure,2021,906
Noumbiel,arachide,pure,2012,539
Noumbiel,arachide,pure,2013,324
Noumbiel,arachide,pure,2014,530
Noumbiel,arachide,pure,2015,352
Noumbiel,arachide,pure,2016,630
Noumbiel,arachide,pure,2017,581
Noumbiel,arachide,pure,2018,652
Noumbiel,arachide,pure,2019,788
Noumbiel,arachide,pure,2020,756
Noumbiel,arachide,pure,2021,599
Poni,arachide,pure,2012,841
Poni,arachide,pure,2013,723
Poni,arachide,pure,2014,1261
Poni,arachide,pure,2015,1027
Poni,arachide,pure,2016,1293
Poni,arachide,pure,2017,1009
Poni,arachide,pure,2018,810
Poni,arachide,pure,2019,984
Poni,arachide,pure,2020,815
Poni,arachide,pure,2021,746
