province,speculation,type_culture,year,rendement
Bale,coton,pure,2012,1165
Bale,coton,pure,2013,1453
Bale,coton,pure,2014,1369
Bale,coton,pure,2015,1392
Bale,coton,pure,2016,1644
Bale,coton,pure,2017,1032
Bale,coton,pure,2018,1295
Bale,coton,pure,2019,1264
Bale,coton,pure,2020,1458
Bale,coton,pure,2021,1334
Banwa,coton,pure,2012,748
Banwa,coton,pure,2013,1069
Banwa,coton,pure,2014,1217
Banwa,coton,pure,2015,1069
Banwa,coton,pure,2016,972
Banwa,coton,pure,2017,816
Banwa,coton,pure,2018,1028
Banwa,coton,pure,2019,1346
Banwa,coton,pure,2020,1481
Banwa,coton,pure,2021,1157
Kossi,coton,pure,2012,460
Kossi,coton,pure,2013,695
Kossi,coton,pure,2014,1177
Kossi,coton,pure,2015,1063
Kossi,coton,pure,2016,836
Kossi,coton,pure,2017,753
Kossi,coton,pure,2018,799
Kossi,coton,pure,2019,892
Kossi,coton,pure,2020,737
Kossi,coton,pure,2021,912
Mouhoun,coton,pure,2012,1173
Mouhoun,coton,pure,2013,1345
Mouhoun,coton,pure,2014,1846
Mouhoun,coton,pure,2015,1421
Mouhoun,coton,pure,2016,1231
Mouhoun,coton,pure,2017,919
Mouhoun,coton,pure,2018,1081
Mouhoun,coton,pure,2019,1276
Mouhoun,coton,pure,2020,1352
Mouhoun,coton,pure,2021,1150
Nayala,coton,pure,2012,1074
Nayala,coton,pure,2013,1241
Nayala,coton,pure,2014,1184
Nayala,coton,pure,2015,729
Nayala,coton,pure,2016,781
Nayala,coton,pure,2017,653
Nayala,coton,pure,2018,777
Nayala,coton,pure,2019,887
Nayala,coton,pure,2020,1181
Nayala,coton,pure,2021,824
Sourou,coton,pure,2012,0
Sourou,coton,pure,2013,0
Sourou,coton,pure,2014,0
Sourou,coton,pure,2015,0
Sourou,coton,pure,2016,0
Sourou,coton,pure,2017,0
Sourou,coton,pure,2018,0
Sourou,coton,pure,2019,0
Sourou,coton,pure,2020,0
Sourou,coton,pure,2021,
Comoe,coton,pure,2012,1157
Comoe,coton,pure,2013,1232
Comoe,coton,pure,2014,1071
Comoe,coton,pure,2015,1470
Comoe,coton,pure,2016,1428
Comoe,coton,pure,2017,1203
Comoe,coton,pure,2018,998
Comoe,coton,pure,2019,1225
Comoe,coton,pure,2020,1125
Comoe,coton,pure,2021,1203
Leraba,coton,pure,2012,1284
Leraba,coton,pure,2013,1452
Leraba,coton,pure,2014,1482
Leraba,coton,pure,2015,1409
Leraba,coton,pure,2016,1421
Leraba,coton,pure,2017,1011
Leraba,coton,pure,2018,1025
Leraba,coton,pure,2019,1215
Leraba,coton,pure,2020,1207
Leraba,coton,pure,2021,1230
Kadiogo,coton,pure,2012,
Kadiogo,coton,pure,2013,
Kadiogo,coton,pure,2014,
Kadiogo,coton,pure,2015,
Kadiogo,coton,pure,2016,2000
Kadiogo,coton,pure,2017,
Kadiogo,coton,pure,2018,
Kadiogo,coton,pure,2019,
Kadiogo,coton,pure,2020,
Kadiogo,coton,pure,2021,
Boulgou,coton,pure,2012,976
Boulgou,coton,pure,2013,965
Boulgou,coton,pure,2014,1684
Boulgou,coton,pure,2015,1789
Boulgou,coton,pure,2016,1759
Boulgou,coton,pure,2017,1770
Boulgou,coton,pure,2018,1485
Boulgou,coton,pure,2019,620
Boulgou,coton,pure,2020,1465
Boulgou,coton,pure,2021,809
Koulpelogo,coton,pure,2012,1114
Koulpelogo,coton,pure,2013,1439
Koulpelogo,coton,pure,2014,1320
Koulpelogo,coton,pure,2015,1355
Koulpelogo,coton,pure,2016,1505
Koulpelogo,coton,pure,2017,1028
Koulpelogo,coton,pure,2018,878
Koulpelogo,coton,pure,2019,1132
Koulpelogo,coton,pure,2020,1009
Koulpelogo,coton,pure,2021,870
Kouritenga,coton,pure,2012,
Kouritenga,coton,pure,2013,
Kouritenga,coton,pure,2014,1657
Kouritenga,coton,pure,2015,746
Kouritenga,coton,pure,2016,800
Kouritenga,coton,pure,2017,1514
Kouritenga,coton,pure,2018,1200
Kouritenga,coton,pure,2019,
Kouritenga,coton,pure,2020,1226
Kouritenga,coton,pure,2021,723
Bam,coton,pure,2012,
Bam,coton,pure,2013,
Bam,coton,pure,2014,640
Bam,coton,pure,2015,400
Bam,coton,pure,2016,440
Bam,coton,pure,2017,
Bam,coton,pure,2018,1040
Bam,coton,pure,2019,229
Bam,coton,pure,2020,757
Bam,coton,pure,2021,746
Namentenga,coton,pure,2012,0
Namentenga,coton,pure,2013,0
Namentenga,coton,pure,2014,0
Namentenga,coton,pure,2015,0
Namentenga,coton,pure,2016,0
Namentenga,coton,pure,2017,0
Namentenga,coton,pure,2018,0
Namentenga,coton,pure,2019,0
Namentenga,coton,pure,2020,0
Namentenga,coton,pure,2021,0
Sanmatenga,coton,pure,2012,0
Sanmatenga,coton,pure,2013,0
Sanmatenga,coton,pure,2014,0
Sanmatenga,coton,pure,2015,0
Sanmatenga,coton,pure,2016,0
Sanmatenga,coton,pure,2017,0
Sanmatenga,coton,pure,2018,0
Sanmatenga,coton,pure,2019,0
Sanmatenga,coton,pure,2020,0
Sanmatenga,coton,pure,2021,0
Boulkiemde,coton,pure,2012,0
Boulkiemde,coton,pure,2013,0
Boulkiemde,coton,pure,2014,0
Boulkiemde,coton,pure,2015,0
Boulkiemde,coton,pure,2016,0
Boulkiemde,coton,pure,2017,0
Boulkiemde,coton,pure,2018,0
Boulkiemde,coton,pure,2019,0
Boulkiemde,coton,pure,2020,0
Boulkiemde,coton,pure,2021,0
Sanguie,coton,pure,2012,840
Sanguie,coton,pure,2013,720
Sanguie,coton,pure,2014,1241
Sanguie,coton,pure,2015,909
Sanguie,coton,pure,2016,2000
Sanguie,coton,pure,2017,1637
Sanguie,coton,pure,2018,690
Sanguie,coton,pure,2019,1787
Sanguie,coton,pure,2020,1509
Sanguie,coton,pure,2021,1000
Sissili,coton,pure,2012,1076
Sissili,coton,pure,2013,1114
Sissili,coton,pure,2014,747
Sissili,coton,pure,2015,506
Sissili,coton,pure,2016,679
Sissili,coton,pure,2017,637
Sissili,coton,pure,2018,713
Sissili,coton,pure,2019,733
Sissili,coton,pure,2020,712
Sissili,coton,pure,2021,718
Ziro,coton,pure,2012,454
Ziro,coton,pure,2013,623
Ziro,coton,pure,2014,1451
Ziro,coton,pure,2015,1223
Ziro,coton,pure,2016,859
Ziro,coton,pure,2017,881
Ziro,coton,pure,2018,841
Ziro,coton,pure,2019,715
Ziro,coton,pure,2020,798
Ziro,coton,pure,2021,844
Bazega,coton,pure,2012,822
Bazega,coton,pure,2013,980
Bazega,coton,pure,2014,
Bazega,coton,pure,2015,
Bazega,coton,pure,2016,
Bazega,coton,pure,2017,
Bazega,coton,pure,2018,660
Bazega,coton,pure,2019,582
Bazega,coton,pure,2020,528
Bazega,coton,pure,2021,724
Nahouri,coton,pure,2012,873
Nahouri,coton,pure,2013,1134
Nahouri,coton,pure,2014,1093
Nahouri,coton,pure,2015,1051
Nahouri,coton,pure,2016,923
Nahouri,coton,pure,2017,863
Nahouri,coton,pure,2018,626
Nahouri,coton,pure,2019,1019
Nahouri,coton,pure,2020,1467
Nahouri,coton,pure,2021,1388
Zoundweogo,coton,pure,2012,
Zoundweogo,coton,pure,2013,1855
Zoundweogo,coton,pure,2014,1835
Zoundweogo,coton,pure,2015,1030
Zoundweogo,coton,pure,2016,1327
Zoundweogo,coton,pure,2017,1291
Zoundweogo,coton,pure,2018,1282
Zoundweogo,coton,pure,2019,1302
Zoundweogo,coton,pure,2020,989
Zoundweogo,coton,pure,2021,1095
Gnagna,coton,pure,2012,
Gnagna,coton,pure,2013,
Gnagna,coton,pure,2014,
Gnagna,coton,pure,2015,280
Gnagna,coton,pure,2016,
Gnagna,coton,pure,2017,
Gnagna,coton,pure,2018,
Gnagna,coton,pure,2019,
Gnagna,coton,pure,2020,
Gnagna,coton,pure,2021,
Gourma,coton,pure,2012,885
Gourma,coton,pure,2013,937
Gourma,coton,pure,2014,1060
Gourma,coton,pure,2015,510
Gourma,coton,pure,2016,627
Gourma,coton,pure,2017,302
Gourma,coton,pure,2018,589
Gourma,coton,pure,2019,504
Gourma,coton,pure,2020,907
Gourma,coton,pure,2021,581
Komandjoari,coton,pure,2012,0
Komandjoari,coton,pure,2013,0
Komandjoari,coton,pure,2014,0
Komandjoari,coton,pure,2015,0
Komandjoari,coton,pure,2016,0
Komandjoari,coton,pure,2017,0
Komandjoari,coton,pure,2018,0
Komandjoari,coton,pure,2019,0
Komandjoari,coton,pure,2020,0
Komandjoari,coton,pure,2021,0
Kompienga,coton,pure,2012,1107
Kompienga,coton,pure,2013,1134
Kompienga,coton,pure,2014,1063
Kompienga,coton,pure,2015,1043
Kompienga,coton,pure,2016,962
Kompienga,coton,pure,2017,694
Kompienga,coton,pure,2018,876
Kompienga,coton,pure,2019,994
Kompienga,coton,pure,2020,1061
Kompienga,coton,pure,2021,788
Tapoa,coton,pure,2012,1319
Tapoa,coton,pure,2013,1180
Tapoa,coton,pure,2014,900
Tapoa,coton,pure,2015,765
Tapoa,coton,pure,2016,794
Tapoa,coton,pure,2017,1211
Tapoa,coton,pure,2018,859
Tapoa,coton,pure,2019,1404
Tapoa,coton,pure,2020,829
Tapoa,coton,pure,2021,1093
Houet,coton,pure,2012,1255
Houet,coton,pure,2013,1273
Houet,coton,pure,2014,1512
Houet,coton,pure,2015,919
Houet,coton,pure,2016,1121
Houet,coton,pure,2017,797
Houet,coton,pure,2018,1151
Houet,coton,pure,2019,1289
Houet,coton,pure,2020,1204
Houet,coton,pure,2021,968
Kenedougou,coton,pure,2012,1317
Kenedougou,coton,pure,2013,1320
Kenedougou,coton,pure,2014,1282
Kenedougou,coton,pure,2015,1332
Kenedougou,coton,pure,2016,1483
Kenedougou,coton,pure,2017,1325
Kenedougou,coton,pure,2018,996
Kenedougou,coton,pure,2019,1342
Kenedougou,coton,pure,2020,1307
Kenedougou,coton,pure,2021,1308
Tuy,coton,pure,2012,1302
Tuy,coton,pure,2013,1155
