province,speculation,type_culture,year,rendement
Bale,fonio,pure,2012,0
Bale,fonio,pure,2013,0
Bale,fonio,pure,2014,0
Bale,fonio,pure,2015,0
Bale,fonio,pure,2016,0
Bale,fonio,pure,2017,0
Bale,fonio,pure,2018,0
Bale,fonio,pure,2019,0
Bale,fonio,pure,2020,0
Bale,fonio,pure,2021,0
Banwa,fonio,pure,2012,640
Banwa,fonio,pure,2013,316
Banwa,fonio,pure,2014,1400
Banwa,fonio,pure,2015,1200
Banwa,fonio,pure,2016,1040
Banwa,fonio,pure,2017,1240
Banwa,fonio,pure,2018,
Banwa,fonio,pure,2019,
Banwa,fonio,pure,2020,
Banwa,fonio,pure,2021,
Kossi,fonio,pure,2012,594
Kossi,fonio,pure,2013,715
Kossi,fonio,pure,2014,752
Kossi,fonio,pure,2015,829
Kossi,fonio,pure,2016,749
Kossi,fonio,pure,2017,676
Kossi,fonio,pure,2018,787
Kossi,fonio,pure,2019,730
Kossi,fonio,pure,2020,828
Kossi,fonio,pure,2021,733
Mouhoun,fonio,pure,2012,
Mouhoun,fonio,pure,2013,
Mouhoun,fonio,pure,2014,
Mouhoun,fonio,pure,2015,
Mouhoun,fonio,pure,2016,
Mouhoun,fonio,pure,2017,
Mouhoun,fonio,pure,2018,720
Mouhoun,fonio,pure,2019,160
Mouhoun,fonio,pure,2020,560
Mouhoun,fonio,pure,2021,618
Nayala,fonio,pure,2012,0
Nayala,fonio,pure,2013,0
Nayala,fonio,pure,2014,0
Nayala,fonio,pure,2015,0
Nayala,fonio,pure,2016,0
Nayala,fonio,pure,2017,0
Nayala,fonio,pure,2018,0
Nayala,fonio,pure,2019,0
Nayala,fonio,pure,2020,0
Nayala,fonio,pure,2021,0
Sourou,fonio,pure,2012,
Sourou,fonio,pure,2013,
Sourou,fonio,pure,2014,
Sourou,fonio,pure,2015,
Sourou,fonio,pure,2016,1500
Sourou,fonio,pure,2017,
Sourou,fonio,pure,2018,
Sourou,fonio,pure,2019,
Sourou,fonio,pure,2020,
Sourou,fonio,pure,2021,
Comoe,fonio,pure,2012,1290
Comoe,fonio,pure,2013,1162
Comoe,fonio,pure,2014,
Comoe,fonio,pure,2015,
Comoe,fonio,pure,2016,
Comoe,fonio,pure,2017,
Comoe,fonio,pure,2018,1274
Comoe,fonio,pure,2019,1596
Comoe,fonio,pure,2020,
Comoe,fonio,pure,2021,
Leraba,fonio,pure,2012,1220
Leraba,fonio,pure,2013,1268
Leraba,fonio,pure,2014,1107
Leraba,fonio,pure,2015,1017
Leraba,fonio,pure,2016,1041
Leraba,fonio,pure,2017,680
Leraba,fonio,pure,2018,1080
Leraba,fonio,pure,2019,520
Leraba,fonio,pure,2020,
Leraba,fonio,pure,2021,
Kadiogo,fonio,pure,2012,0
Kadiogo,fonio,pure,2013,0
Kadiogo,fonio,pure,2014,0
Kadiogo,fonio,pure,2015,0
Kadiogo,fonio,pure,2016,0
Kadiogo,fonio,pure,2017,0
Kadiogo,fonio,pure,2018,0
Kadiogo,fonio,pure,2019,0
Kadiogo,fonio,pure,2020,0
Kadiogo,fonio,pure,2021,0
Boulgou,fonio,pure,2012,0
Boulgou,fonio,pure,2013,0
Boulgou,fonio,pure,2014,0
Boulgou,fonio,pure,2015,0
Boulgou,fonio,pure,2016,0
Boulgou,fonio,pure,2017,0
Boulgou,fonio,pure,2018,0
Boulgou,fonio,pure,2019,0
Boulgou,fonio,pure,2020,0
Boulgou,fonio,pure,2021,0
Koulpelogo,fonio,pure,2012,
Koulpelogo,fonio,pure,2013,
Koulpelogo,fonio,pure,2014,300
Koulpelogo,fonio,pure,2015,
Koulpelogo,fonio,pure,2016,
Koulpelogo,fonio,pure,2017,
Koulpelogo,fonio,pure,2018,
Koulpelogo,fonio,pure,2019,
Koulpelogo,fonio,pure,2020,
Koulpelogo,fonio,pure,2021,
Kouritenga,fonio,pure,2012,0
Kouritenga,fonio,pure,2013,0
Kouritenga,fonio,pure,2014,0
Kouritenga,fonio,pure,2015,0
Kouritenga,fonio,pure,2016,0
Kouritenga,fonio,pure,2017,0
Kouritenga,fonio,pure,2018,0
Kouritenga,fonio,pure,2019,0
Kouritenga,fonio,pure,2020,0
Kouritenga,fonio,pure,2021,0
Bam,fonio,pure,2012,0
Bam,fonio,pure,2013,0
Bam,fonio,pure,2014,0
Bam,fonio,pure,2015,0
Bam,fonio,pure,2016,0
Bam,fonio,pure,2017,0
Bam,fonio,pure,2018,0
Bam,fonio,pure,2019,0
Bam,fonio,pure,2020,0
Bam,fonio,pure,2021,0
Namentenga,fonio,pure,2012,0
Namentenga,fonio,pure,2013,0
Namentenga,fonio,pure,2014,0
Namentenga,fonio,pure,2015,0
Namentenga,fonio,pure,2016,0
Namentenga,fonio,pure,2017,0
Namentenga,fonio,pure,2018,0
Namentenga,fonio,pure,2019,0
Namentenga,fonio,pure,2020,0
Namentenga,fonio,pure,2021,0
Sanmatenga,fonio,pure,2012,
Sanmatenga,fonio,pure,2013,
Sanmatenga,fonio,pure,2014,
Sanmatenga,fonio,pure,2015,
Sanmatenga,fonio,pure,2016,
Sanmatenga,fonio,pure,2017,1280
Sanmatenga,fonio,pure,2018,
Sanmatenga,fonio,pure,2019,
Sanmatenga,fonio,pure,2020,
Sanmatenga,fonio,pure,2021,
Boulkiemde,fonio,pure,2012,0
Boulkiemde,fonio,pure,2013,0
Boulkiemde,fonio,pure,2014,0
Boulkiemde,fonio,pure,2015,0
