province,speculation,type_culture,year,rendement
Bale,igname,pure,2012,
Bale,igname,pure,2013,
Bale,igname,pure,2014,
Bale,igname,pure,2015,0
Bale,igname,pure,2016,0
Bale,igname,pure,2017,
Bale,igname,pure,2018,0
Bale,igname,pure,2019,
Bale,igname,pure,2020,
Bale,igname,pure,2021,
Banwa,igname,pure,2012,
Banwa,igname,pure,2013,
Banwa,igname,pure,2014,
Banwa,igname,pure,2015,0
Banwa,igname,pure,2016,0
Banwa,igname,pure,2017,
Banwa,igname,pure,2018,0
Banwa,igname,pure,2019,
Banwa,igname,pure,2020,
Banwa,igname,pure,2021,
Kossi,igname,pure,2012,
Kossi,igname,pure,2013,
Kossi,igname,pure,2014,
Kossi,igname,pure,2015,
Kossi,igname,pure,2016,1040
Kossi,igname,pure,2017,
Kossi,igname,pure,2018,
Kossi,igname,pure,2019,
Kossi,igname,pure,2020,
Kossi,igname,pure,2021,
Mouhoun,igname,pure,2012,
Mouhoun,igname,pure,2013,
Mouhoun,igname,pure,2014,
Mouhoun,igname,pure,2015,0
Mouhoun,igname,pure,2016,0
Mouhoun,igname,pure,2017,
Mouhoun,igname,pure,2018,0
Mouhoun,igname,pure,2019,
Mouhoun,igname,pure,2020,
Mouhoun,igname,pure,2021,
Nayala,igname,pure,2012,
Nayala,igname,pure,2013,
Nayala,igname,pure,2014,
Nayala,igname,pure,2015,0
Nayala,igname,pure,2016,0
Nayala,igname,pure,2017,
Nayala,igname,pure,2018,0
Nayala,igname,pure,2019,
Nayala,igname,pure,2020,
Nayala,igname,pure,2021,
Sourou,igname,pure,2012,
Sourou,igname,pure,2013,
Sourou,igname,pure,2014,
Sourou,igname,pure,2015,0
Sourou,igname,pure,2016,0
Sourou,igname,pure,2017,
Sourou,igname,pure,2018,0
Sourou,igname,pure,2019,
Sourou,igname,pure,2020,
Sourou,igname,pure,2021,
Comoe,igname,pure,2012,5212
Comoe,igname,pure,2013,3849
Comoe,igname,pure,2014,8409
Comoe,igname,pure,2015,1000
Comoe,igname,pure,2016,6208
Comoe,igname,pure,2017,4065
Comoe,igname,pure,2018,8188
Comoe,igname,pure,2019,11651
Comoe,igname,pure,2020,2985
Comoe,igname,pure,2021,7976
Leraba,igname,pure,2012,6185
Leraba,igname,pure,2013,4970
Leraba,igname,pure,2014,8793
Leraba,igname,pure,2015,1554
Leraba,igname,pure,2016,9293
Leraba,igname,pure,2017,8948
Leraba,igname,pure,2018,6650
Leraba,igname,pure,2019,8556
Leraba,igname,pure,2020,6312
Leraba,igname,pure,2021,9110
Kadiogo,igname,pure,2012,0
Kadiogo,igname,pure,2013,0
Kadiogo,igname,pure,2014,0
Kadiogo,igname,pure,2015,0
Kadiogo,igname,pure,2016,0
Kadiogo,igname,pure,2017,0
