province,speculation,type_culture,year,rendement
Bale,maïs,pure,2012,1819
Bale,maïs,pure,2013,2311
Bale,maïs,pure,2014,2003
Bale,maïs,pure,2015,2003
Bale,maïs,pure,2016,1988
Bale,maïs,pure,2017,1243
Bale,maïs,pure,2018,1934
Bale,maïs,pure,2019,1886
Bale,maïs,pure,2020,1860
Bale,maïs,pure,2021,1673
Banwa,maïs,pure,2012,1319
Banwa,maïs,pure,2013,1660
Banwa,maïs,pure,2014,1541
Banwa,maïs,pure,2015,1268
Banwa,maïs,pure,2016,1273
Banwa,maïs,pure,2017,1125
Banwa,maïs,pure,2018,1352
Banwa,maïs,pure,2019,1516
Banwa,maïs,pure,2020,1921
Banwa,maïs,pure,2021,1554
Kossi,maïs,pure,2012,863
Kossi,maïs,pure,2013,1254
Kossi,maïs,pure,2014,1123
Kossi,maïs,pure,2015,1024
Kossi,maïs,pure,2016,858
Kossi,maïs,pure,2017,1172
Kossi,maïs,pure,2018,1108
Kossi,maïs,pure,2019,1060
Kossi,maïs,pure,2020,1212
Kossi,maïs,pure,2021,1410
Mouhoun,maïs,pure,2012,1972
Mouhoun,maïs,pure,2013,2106
Mouhoun,maïs,pure,2014,2120
Mouhoun,maïs,pure,2015,1598
Mouhoun,maïs,pure,2016,1640
Mouhoun,maïs,pure,2017,1397
Mouhoun,maïs,pure,2018,1538
Mouhoun,maïs,pure,2019,1631
Mouhoun,maïs,pure,2020,1889
Mouhoun,maïs,pure,2021,1794
Nayala,maïs,pure,2012,1279
Nayala,maïs,pure,2013,1389
Nayala,maïs,pure,2014,1478
Nayala,maïs,pure,2015,1267
Nayala,maïs,pure,2016,1002
Nayala,maïs,pure,2017,1007
Nayala,maïs,pure,2018,1363
Nayala,maïs,pure,2019,1123
Nayala,maïs,pure,2020,1342
Nayala,maïs,pure,2021,1202
Sourou,maïs,pure,2012,1860
Sourou,maïs,pure,2013,1649
Sourou,maïs,pure,2014,1825
Sourou,maïs,pure,2015,1733
Sourou,maïs,pure,2016,950
Sourou,maïs,pure,2017,1139
Sourou,maïs,pure,2018,1351
Sourou,maïs,pure,2019,1100
Sourou,maïs,pure,2020,1424
Sourou,maïs,pure,2021,1321
Comoe,maïs,pure,2012,1638
Comoe,maïs,pure,2013,1709
Comoe,maïs,pure,2014,1975
Comoe,maïs,pure,2015,2089
Comoe,maïs,pure,2016,2097
Comoe,maïs,pure,2017,1870
Comoe,maïs,pure,2018,1932
Comoe,maïs,pure,2019,2091
Comoe,maïs,pure,2020,2168
Comoe,maïs,pure,2021,1996
Leraba,maïs,pure,2012,2180
Leraba,maïs,pure,2013,2204
Leraba,maïs,pure,2014,2074
Leraba,maïs,pure,2015,1893
Leraba,maïs,pure,2016,2029
Leraba,maïs,pure,2017,1490
Leraba,maïs,pure,2018,1661
Leraba,maïs,pure,2019,1876
Leraba,maïs,pure,2020,1807
Leraba,maïs,pure,2021,1748
Kadiogo,maïs,pure,2012,2622
Kadiogo,maïs,pure,2013,2173
Kadiogo,maïs,pure,2014,2951
Kadiogo,maïs,pure,2015,1820
Kadiogo,maïs,pure,2016,2321
Kadiogo,maïs,pure,2017,1575
Kadiogo,maïs,pure,2018,1531
Kadiogo,maïs,pure,2019,1746
Kadiogo,maïs,pure,2020,1436
Kadiogo,maïs,pure,2021,1207
Boulgou,maïs,pure,2012,1478
Boulgou,maïs,pure,2013,1371
Boulgou,maïs,pure,2014,1611
Boulgou,maïs,pure,2015,1657
Boulgou,maïs,pure,2016,1650
Boulgou,maïs,pure,2017,1657
Boulgou,maïs,pure,2018,1755
Boulgou,maïs,pure,2019,1454
Boulgou,maïs,pure,2020,1821
Boulgou,maïs,pure,2021,1295
Koulpelogo,maïs,pure,2012,1376
Koulpelogo,maïs,pure,2013,1285
Koulpelogo,maïs,pure,2014,1410
Koulpelogo,maïs,pure,2015,1093
Koulpelogo,maïs,pure,2016,1466
Koulpelogo,maïs,pure,2017,1258
Koulpelogo,maïs,pure,2018,1240
Koulpelogo,maïs,pure,2019,1579
Koulpelogo,maïs,pure,2020,1353
Koulpelogo,maïs,pure,2021,1092
Kouritenga,maïs,pure,2012,1365
Kouritenga,maïs,pure,2013,1501
Kouritenga,maïs,pure,2014,1811
Kouritenga,maïs,pure,2015,1549
Kouritenga,maïs,pure,2016,1734
Kouritenga,maïs,pure,2017,1502
Kouritenga,maïs,pure,2018,1488
Kouritenga,maïs,pure,2019,1639
Kouritenga,maïs,pure,2020,1525
Kouritenga,maïs,pure,2021,1165
Bam,maïs,pure,2012,750
Bam,maïs,pure,2013,592
Bam,maïs,pure,2014,1080
Bam,maïs,pure,2015,734
Bam,maïs,pure,2016,481
Bam,maïs,pure,2017,309
Bam,maïs,pure,2018,800
Bam,maïs,pure,2019,786
Bam,maïs,pure,2020,945
Bam,maïs,pure,2021,364
Namentenga,maïs,pure,2012,1213
Namentenga,maïs,pure,2013,889
Namentenga,maïs,pure,2014,623
Namentenga,maïs,pure,2015,1153
Namentenga,maïs,pure,2016,864
Namentenga,maïs,pure,2017,977
Namentenga,maïs,pure,2018,823
Namentenga,maïs,pure,2019,996
Namentenga,maïs,pure,2020,976
Namentenga,maïs,pure,2021,801
Sanmatenga,maïs,pure,2012,1712
Sanmatenga,maïs,pure,2013,997
Sanmatenga,maïs,pure,2014,674
Sanmatenga,maïs,pure,2015,773
Sanmatenga,maïs,pure,2016,802
Sanmatenga,maïs,pure,2017,422
Sanmatenga,maïs,pure,2018,846
Sanmatenga,maïs,pure,2019,659
Sanmatenga,maïs,pure,2020,1207
Sanmatenga,maïs,pure,2021,693
Boulkiemde,maïs,pure,2012,920
Boulkiemde,maïs,pure,2013,591
Boulkiemde,maïs,pure,2014,1227
Boulkiemde,maïs,pure,2015,863
Boulkiemde,maïs,pure,2016,843
Boulkiemde,maïs,pure,2017,518
Boulkiemde,maïs,pure,2018,1550
Boulkiemde,maïs,pure,2019,792
Boulkiemde,maïs,pure,2020,1050
Boulkiemde,maïs,pure,2021,766
Sanguie,maïs,pure,2012,1048
Sanguie,maïs,pure,2013,978
Sanguie,maïs,pure,2014,1521
Sanguie,maïs,pure,2015,1292
Sanguie,maïs,pure,2016,1126
Sanguie,maïs,pure,2017,1074
Sanguie,maïs,pure,2018,1721
Sanguie,maïs,pure,2019,1268
Sanguie,maïs,pure,2020,1506
Sanguie,maïs,pure,2021,1120
Sissili,maïs,pure,2012,3028
Sissili,maïs,pure,2013,1759
Sissili,maïs,pure,2014,1942
Sissili,maïs,pure,2015,2072
Sissili,maïs,pure,2016,1765
Sissili,maïs,pure,2017,2070
Sissili,maïs,pure,2018,2463
Sissili,maïs,pure,2019,1864
Sissili,maïs,pure,2020,1690
Sissili,maïs,pure,2021,1293
Ziro,maïs,pure,2012,1465
Ziro,maïs,pure,2013,1354
Ziro,maïs,pure,2014,1998
Ziro,maïs,pure,2015,1474
Ziro,maïs,pure,2016,1392
Ziro,maïs,pure,2017,1238
Ziro,maïs,pure,2018,1422
Ziro,maïs,pure,2019,1326
Ziro,maïs,pure,2020,1359
Ziro,maïs,pure,2021,1124
Bazega,maïs,pure,2012,1180
Bazega,maïs,pure,2013,1293
Bazega,maïs,pure,2014,1544
Bazega,maïs,pure,2015,1239
Bazega,maïs,pure,2016,1507
Bazega,maïs,pure,2017,1097
Bazega,maïs,pure,2018,1369
Bazega,maïs,pure,2019,1342
Bazega,maïs,pure,2020,1598
Bazega,maïs,pure,2021,1419
Nahouri,maïs,pure,2012,1163
Nahouri,maïs,pure,2013,1720
Nahouri,maïs,pure,2014,1543
Nahouri,maïs,pure,2015,1971
Nahouri,maïs,pure,2016,1670
Nahouri,maïs,pure,2017,1955
Nahouri,maïs,pure,2018,1505
Nahouri,maïs,pure,2019,1674
Nahouri,maïs,pure,2020,1925
Nahouri,maïs,pure,2021,1611
Zoundweogo,maïs,pure,2012,1410
Zoundweogo,maïs,pure,2013,1706
Zoundweogo,maïs,pure,2014,2458
Zoundweogo,maïs,pure,2015,1578
Zoundweogo,maïs,pure,2016,1931
Zoundweogo,maïs,pure,2017,1768
Zoundweogo,maïs,pure,2018,1727
Zoundweogo,maïs,pure,2019,1862
Zoundweogo,maïs,pure,2020,1912
Zoundweogo,maïs,pure,2021,1425
Gnagna,maïs,pure,2012,906
Gnagna,maïs,pure,2013,599
Gnagna,maïs,pure,2014,599
Gnagna,maïs,pure,2015,731
Gnagna,maïs,pure,2016,1019
Gnagna,maïs,pure,2017,509
Gnagna,maïs,pure,2018,801
Gnagna,maïs,pure,2019,1007
Gnagna,maïs,pure,2020,815
Gnagna,maïs,pure,2021,435
Gourma,maïs,pure,2012,1502
Gourma,maïs,pure,2013,1451
Gourma,maïs,pure,2014,1625
Gourma,maïs,pure,2015,1122
Gourma,maïs,pure,2016,1510
Gourma,maïs,pure,2017,1061
Gourma,maïs,pure,2018,1163
Gourma,maïs,pure,2019,1389
Gourma,maïs,pure,2020,1597
Gourma,maïs,pure,2021,788
Komandjoari,maïs,pure,2012,1606
Komandjoari,maïs,pure,2013,784
Komandjoari,maïs,pure,2014,1391
Komandjoari,maïs,pure,2015,902
Komandjoari,maïs,pure,2016,696
Komandjoari,maïs,pure,2017,307
Komandjoari,maïs,pure,2018,445
Komandjoari,maïs,pure,2019,495
Komandjoari,maïs,pure,2020,981
Komandjoari,maïs,pure,2021,587
Kompienga,maïs,pure,2012,1950
Kompienga,maïs,pure,2013,2174
Kompienga,maïs,pure,2014,1402
Kompienga,maïs,pure,2015,1808
Kompienga,maïs,pure,2016,1651
Kompienga,maïs,pure,2017,1414
Kompienga,maïs,pure,2018,1575
Kompienga,maïs,pure,2019,1209
Kompienga,maïs,pure,2020,1583
Kompienga,maïs,pure,2021,1270
Tapoa,maïs,pure,2012,2696
Tapoa,maïs,pure,2013,1515
Tapoa,maïs,pure,2014,1580
Tapoa,maïs,pure,2015,1563
Tapoa,maïs,pure,2016,1727
Tapoa,maïs,pure,2017,1476
Tapoa,maïs,pure,2018,1361
Tapoa,maïs,pure,2019,1532
Tapoa,maïs,pure,2020,875
Tapoa,maïs,pure,2021,1718
Houet,maïs,pure,2012,1894
Houet,maïs,pure,2013,1920
Houet,maïs,pure,2014,2235
Houet,maïs,pure,2015,1883
Houet,maïs,pure,2016,1710
Houet,maïs,pure,2017,1609
Houet,maïs,pure,2018,1718
Houet,maïs,pure,2019,1793
Houet,maïs,pure,2020,1834
Houet,maïs,pure,2021,1298
Kenedougou,maïs,pure,2012,2113
Kenedougou,maïs,pure,2013,1977
Kenedougou,maïs,pure,2014,2549
Kenedougou,maïs,pure,2015,2400
Kenedougou,maïs,pure,2016,2386
Kenedougou,maïs,pure,2017,2105
Kenedougou,maïs,pure,2018,2003
Kenedougou,maïs,pure,2019,1979
Kenedougou,maïs,pure,2020,2196
Kenedougou,maïs,pure,2021,2039
Tuy,maïs,pure,2012,2037
Tuy,maïs,pure,2013,2302
Tuy,maïs,pure,2014,2320
Tuy,maïs,pure,2015,2531
Tuy,maïs,pure,2016,2668
Tuy,maïs,pure,2017,2299
Tuy,maïs,pure,2018,2106
Tuy,maïs,pure,2019,2525
Tuy,maïs,pure,2020,2212
Tuy,maïs,pure,2021,2049
