province,speculation,type_culture,year,rendement
Bale,mil,pure,2012,1150
Bale,mil,pure,2013,1367
Bale,mil,pure,2014,564
Bale,mil,pure,2015,884
Bale,mil,pure,2016,936
Bale,mil,pure,2017,581
Bale,mil,pure,2018,1196
Bale,mil,pure,2019,617
Bale,mil,pure,2020,1242
Bale,mil,pure,2021,981
Banwa,mil,pure,2012,905
Banwa,mil,pure,2013,920
Banwa,mil,pure,2014,998
Banwa,mil,pure,2015,1037
Banwa,mil,pure,2016,829
Banwa,mil,pure,2017,770
Banwa,mil,pure,2018,1109
Banwa,mil,pure,2019,1001
Banwa,mil,pure,2020,1286
Banwa,mil,pure,2021,1105
Kossi,mil,pure,2012,885
Kossi,mil,pure,2013,846
Kossi,mil,pure,2014,1092
Kossi,mil,pure,2015,1127
Kossi,mil,pure,2016,1015
Kossi,mil,pure,2017,895
Kossi,mil,pure,2018,1055
Kossi,mil,pure,2019,1076
Kossi,mil,pure,2020,971
Kossi,mil,pure,2021,849
Mouhoun,mil,pure,2012,1190
Mouhoun,mil,pure,2013,1004
Mouhoun,mil,pure,2014,1118
Mouhoun,mil,pure,2015,1018
Mouhoun,mil,pure,2016,896
Mouhoun,mil,pure,2017,878
Mouhoun,mil,pure,2018,895
Mouhoun,mil,pure,2019,961
Mouhoun,mil,pure,2020,1030
Mouhoun,mil,pure,2021,1016
Nayala,mil,pure,2012,1112
Nayala,mil,pure,2013,978
Nayala,mil,pure,2014,951
Nayala,mil,pure,2015,750
Nayala,mil,pure,2016,624
Nayala,mil,pure,2017,681
Nayala,mil,pure,2018,967
Nayala,mil,pure,2019,731
Nayala,mil,pure,2020,844
Nayala,mil,pure,2021,860
Sourou,mil,pure,2012,1210
Sourou,mil,pure,2013,958
Sourou,mil,pure,2014,1221
Sourou,mil,pure,2015,1502
Sourou,mil,pure,2016,1025
Sourou,mil,pure,2017,426
Sourou,mil,pure,2018,881
Sourou,mil,pure,2019,606
Sourou,mil,pure,2020,581
Sourou,mil,pure,2021,549
Comoe,mil,pure,2012,280
Comoe,mil,pure,2013,1940
Comoe,mil,pure,2014,1015
Comoe,mil,pure,2015,1303
Comoe,mil,pure,2016,928
Comoe,mil,pure,2017,824
Comoe,mil,pure,2018,1017
Comoe,mil,pure,2019,937
Comoe,mil,pure,2020,769
Comoe,mil,pure,2021,625
Leraba,mil,pure,2012,998
Leraba,mil,pure,2013,1206
Leraba,mil,pure,2014,1036
Leraba,mil,pure,2015,1396
Leraba,mil,pure,2016,913
Leraba,mil,pure,2017,599
Leraba,mil,pure,2018,633
Leraba,mil,pure,2019,838
Leraba,mil,pure,2020,1153
Leraba,mil,pure,2021,915
Kadiogo,mil,pure,2012,884
Kadiogo,mil,pure,2013,871
Kadiogo,mil,pure,2014,900
Kadiogo,mil,pure,2015,983
Kadiogo,mil,pure,2016,853
Kadiogo,mil,pure,2017,558
Kadiogo,mil,pure,2018,870
Kadiogo,mil,pure,2019,766
Kadiogo,mil,pure,2020,780
Kadiogo,mil,pure,2021,950
Boulgou,mil,pure,2012,835
Boulgou,mil,pure,2013,1022
Boulgou,mil,pure,2014,1164
Boulgou,mil,pure,2015,638
Boulgou,mil,pure,2016,1212
Boulgou,mil,pure,2017,601
Boulgou,mil,pure,2018,753
Boulgou,mil,pure,2019,733
Boulgou,mil,pure,2020,889
Boulgou,mil,pure,2021,922
Koulpelogo,mil,pure,2012,1318
Koulpelogo,mil,pure,2013,734
Koulpelogo,mil,pure,2014,495
Koulpelogo,mil,pure,2015,967
Koulpelogo,mil,pure,2016,1436
Koulpelogo,mil,pure,2017,693
Koulpelogo,mil,pure,2018,652
Koulpelogo,mil,pure,2019,903
Koulpelogo,mil,pure,2020,771
Koulpelogo,mil,pure,2021,602
Kouritenga,mil,pure,2012,801
Kouritenga,mil,pure,2013,1200
Kouritenga,mil,pure,2014,1057
Kouritenga,mil,pure,2015,797
Kouritenga,mil,pure,2016,906
Kouritenga,mil,pure,2017,575
Kouritenga,mil,pure,2018,738
Kouritenga,mil,pure,2019,887
Kouritenga,mil,pure,2020,441
Kouritenga,mil,pure,2021,476
Bam,mil,pure,2012,942
Bam,mil,pure,2013,440
Bam,mil,pure,2014,610
Bam,mil,pure,2015,663
Bam,mil,pure,2016,456
Bam,mil,pure,2017,643
Bam,mil,pure,2018,905
Bam,mil,pure,2019,726
Bam,mil,pure,2020,834
Bam,mil,pure,2021,460
Namentenga,mil,pure,2012,776
Namentenga,mil,pure,2013,931
Namentenga,mil,pure,2014,741
Namentenga,mil,pure,2015,762
Namentenga,mil,pure,2016,446
Namentenga,mil,pure,2017,747
Namentenga,mil,pure,2018,798
Namentenga,mil,pure,2019,587
Namentenga,mil,pure,2020,1009
Namentenga,mil,pure,2021,431
Sanmatenga,mil,pure,2012,1166
Sanmatenga,mil,pure,2013,686
Sanmatenga,mil,pure,2014,572
Sanmatenga,mil,pure,2015,804
Sanmatenga,mil,pure,2016,632
Sanmatenga,mil,pure,2017,547
Sanmatenga,mil,pure,2018,664
Sanmatenga,mil,pure,2019,775
Sanmatenga,mil,pure,2020,978
Sanmatenga,mil,pure,2021,682
Boulkiemde,mil,pure,2012,511
Boulkiemde,mil,pure,2013,712
Boulkiemde,mil,pure,2014,845
Boulkiemde,mil,pure,2015,807
Boulkiemde,mil,pure,2016,609
Boulkiemde,mil,pure,2017,271
Boulkiemde,mil,pure,2018,1077
Boulkiemde,mil,pure,2019,676
Boulkiemde,mil,pure,2020,953
Boulkiemde,mil,pure,2021,666
Sanguie,mil,pure,2012,920
Sanguie,mil,pure,2013,665
Sanguie,mil,pure,2014,656
Sanguie,mil,pure,2015,786
Sanguie,mil,pure,2016,1039
Sanguie,mil,pure,2017,756
Sanguie,mil,pure,2018,1273
Sanguie,mil,pure,2019,902
Sanguie,mil,pure,2020,831
Sanguie,mil,pure,2021,914
Sissili,mil,pure,2012,956
Sissili,mil,pure,2013,740
Sissili,mil,pure,2014,935
Sissili,mil,pure,2015,852
Sissili,mil,pure,2016,828
Sissili,mil,pure,2017,613
Sissili,mil,pure,2018,807
Sissili,mil,pure,2019,603
Sissili,mil,pure,2020,642
Sissili,mil,pure,2021,800
Ziro,mil,pure,2012,769
Ziro,mil,pure,2013,862
Ziro,mil,pure,2014,1162
Ziro,mil,pure,2015,1416
Ziro,mil,pure,2016,856
Ziro,mil,pure,2017,707
Ziro,mil,pure,2018,718
Ziro,mil,pure,2019,889
Ziro,mil,pure,2020,825
Ziro,mil,pure,2021,703
Bazega,mil,pure,2012,732
Bazega,mil,pure,2013,591
Bazega,mil,pure,2014,588
Bazega,mil,pure,2015,635
Bazega,mil,pure,2016,910
Bazega,mil,pure,2017,571
Bazega,mil,pure,2018,680
Bazega,mil,pure,2019,704
Bazega,mil,pure,2020,1009
Bazega,mil,pure,2021,823
Nahouri,mil,pure,2012,929
Nahouri,mil,pure,2013,941
Nahouri,mil,pure,2014,961
Nahouri,mil,pure,2015,992
Nahouri,mil,pure,2016,1010
Nahouri,mil,pure,2017,1108
Nahouri,mil,pure,2018,905
Nahouri,mil,pure,2019,1069
Nahouri,mil,pure,2020,1037
Nahouri,mil,pure,2021,1088
Zoundweogo,mil,pure,2012,1061
Zoundweogo,mil,pure,2013,1317
Zoundweogo,mil,pure,2014,955
Zoundweogo,mil,pure,2015,1158
Zoundweogo,mil,pure,2016,1135
Zoundweogo,mil,pure,2017,1019
Zoundweogo,mil,pure,2018,916
Zoundweogo,mil,pure,2019,1217
Zoundweogo,mil,pure,2020,1063
Zoundweogo,mil,pure,2021,928
Gnagna,mil,pure,2012,751
Gnagna,mil,pure,2013,641
Gnagna,mil,pure,2014,652
Gnagna,mil,pure,2015,614
Gnagna,mil,pure,2016,801
Gnagna,mil,pure,2017,386
Gnagna,mil,pure,2018,708
Gnagna,mil,pure,2019,790
Gnagna,mil,pure,2020,804
Gnagna,mil,pure,2021,745
Gourma,mil,pure,2012,716
Gourma,mil,pure,2013,754
Gourma,mil,pure,2014,584
Gourma,mil,pure,2015,941
Gourma,mil,pure,2016,1086
Gourma,mil,pure,2017,416
Gourma,mil,pure,2018,940
Gourma,mil,pure,2019,489
Gourma,mil,pure,2020,748
Gourma,mil,pure,2021,622
Komandjoari,mil,pure,2012,1011
Komandjoari,mil,pure,2013,754
Komandjoari,mil,pure,2014,1027
Komandjoari,mil,pure,2015,842
Komandjoari,mil,pure,2016,665
Komandjoari,mil,pure,2017,630
Komandjoari,mil,pure,2018,624
Komandjoari,mil,pure,2019,762
Komandjoari,mil,pure,2020,669
Komandjoari,mil,pure,2021,516
Kompienga,mil,pure,2012,848
Kompienga,mil,pure,2013,1035
Kompienga,mil,pure,2014,827
Kompienga,mil,pure,2015,1046
Kompienga,mil,pure,2016,969
Kompienga,mil,pure,2017,899
