province,speculation,type_culture,year,rendement
Bale,niebe,pure,2012,920
Bale,niebe,pure,2013,1027
Bale,niebe,pure,2014,639
Bale,niebe,pure,2015,816
Bale,niebe,pure,2016,945
Bale,niebe,pure,2017,467
Bale,niebe,pure,2018,622
Bale,niebe,pure,2019,673
Bale,niebe,pure,2020,928
Bale,niebe,pure,2021,649
Banwa,niebe,pure,2012,633
Banwa,niebe,pure,2013,732
Banwa,niebe,pure,2014,754
Banwa,niebe,pure,2015,582
Banwa,niebe,pure,2016,521
Banwa,niebe,pure,2017,439
Banwa,niebe,pure,2018,648
Banwa,niebe,pure,2019,885
Banwa,niebe,pure,2020,1287
Banwa,niebe,pure,2021,820
Kossi,niebe,pure,2012,530
Kossi,niebe,pure,2013,942
Kossi,niebe,pure,2014,593
Kossi,niebe,pure,2015,728
Kossi,niebe,pure,2016,672
Kossi,niebe,pure,2017,539
Kossi,niebe,pure,2018,610
Kossi,niebe,pure,2019,691
Kossi,niebe,pure,2020,652
Kossi,niebe,pure,2021,549
Mouhoun,niebe,pure,2012,881
Mouhoun,niebe,pure,2013,1027
Mouhoun,niebe,pure,2014,850
Mouhoun,niebe,pure,2015,693
Mouhoun,niebe,pure,2016,700
Mouhoun,niebe,pure,2017,793
Mouhoun,niebe,pure,2018,680
Mouhoun,niebe,pure,2019,791
Mouhoun,niebe,pure,2020,773
Mouhoun,niebe,pure,2021,742
Nayala,niebe,pure,2012,1078
Nayala,niebe,pure,2013,927
Nayala,niebe,pure,2014,765
Nayala,niebe,pure,2015,706
Nayala,niebe,pure,2016,792
Nayala,niebe,pure,2017,630
Nayala,niebe,pure,2018,852
Nayala,niebe,pure,2019,555
Nayala,niebe,pure,2020,714
Nayala,niebe,pure,2021,458
Sourou,niebe,pure,2012,1308
Sourou,niebe,pure,2013,620
Sourou,niebe,pure,2014,659
Sourou,niebe,pure,2015,1209
Sourou,niebe,pure,2016,345
Sourou,niebe,pure,2017,497
Sourou,niebe,pure,2018,654
Sourou,niebe,pure,2019,457
Sourou,niebe,pure,2020,634
Sourou,niebe,pure,2021,494
Comoe,niebe,pure,2012,575
Comoe,niebe,pure,2013,657
Comoe,niebe,pure,2014,872
Comoe,niebe,pure,2015,766
Comoe,niebe,pure,2016,828
Comoe,niebe,pure,2017,832
Comoe,niebe,pure,2018,663
Comoe,niebe,pure,2019,631
