province,speculation,type_culture,year,rendement
Bale,patate,pure,2012,
Bale,patate,pure,2013,
Bale,patate,pure,2014,
Bale,patate,pure,2015,
Bale,patate,pure,2016,
Bale,patate,pure,2017,15280
Bale,patate,pure,2018,
Bale,patate,pure,2019,
Bale,patate,pure,2020,
Bale,patate,pure,2021,3760
Banwa,patate,pure,2012,1467
Banwa,patate,pure,2013,24774
Banwa,patate,pure,2014,
Banwa,patate,pure,2015,
Banwa,patate,pure,2016,
Banwa,patate,pure,2017,
Banwa,patate,pure,2018,
Banwa,patate,pure,2019,
Banwa,patate,pure,2020,30000
Banwa,patate,pure,2021,26488
Kossi,patate,pure,2012,
Kossi,patate,pure,2013,
Kossi,patate,pure,2014,680
Kossi,patate,pure,2015,
Kossi,patate,pure,2016,
Kossi,patate,pure,2017,
Kossi,patate,pure,2018,
Kossi,patate,pure,2019,
Kossi,patate,pure,2020,
Kossi,patate,pure,2021,738
Mouhoun,patate,pure,2012,
Mouhoun,patate,pure,2013,
Mouhoun,patate,pure,2014,
Mouhoun,patate,pure,2015,
Mouhoun,patate,pure,2016,
Mouhoun,patate,pure,2017,
Mouhoun,patate,pure,2018,11360
Mouhoun,patate,pure,2019,
Mouhoun,patate,pure,2020,5329
Mouhoun,patate,pure,2021,6667
Nayala,patate,pure,2012,
Nayala,patate,pure,2013,
Nayala,patate,pure,2014,
Nayala,patate,pure,2015,
Nayala,patate,pure,2016,
Nayala,patate,pure,2017,
Nayala,patate,pure,2018,0
Nayala,patate,pure,2019,
Nayala,patate,pure,2020,
Nayala,patate,pure,2021,
Sourou,patate,pure,2012,28160
Sourou,patate,pure,2013,
Sourou,patate,pure,2014,
Sourou,patate,pure,2015,
Sourou,patate,pure,2016,
Sourou,patate,pure,2017,30000
Sourou,patate,pure,2018,11360
Sourou,patate,pure,2019,34000
Sourou,patate,pure,2020,8638
Sourou,patate,pure,2021,11543
Comoe,patate,pure,2012,3794
Comoe,patate,pure,2013,3129
Comoe,patate,pure,2014,8273
Comoe,patate,pure,2015,1584
Comoe,patate,pure,2016,5423
Comoe,patate,pure,2017,5025
Comoe,patate,pure,2018,12429
Comoe,patate,pure,2019,5067
Comoe,patate,pure,2020,4377
