province,speculation,type_culture,year,rendement
Bale,riz,pure,2012,1254
Bale,riz,pure,2013,1704
Bale,riz,pure,2014,2013
Bale,riz,pure,2015,799
Bale,riz,pure,2016,533
Bale,riz,pure,2017,964
Bale,riz,pure,2018,1203
Bale,riz,pure,2019,1409
Bale,riz,pure,2020,1557
Bale,riz,pure,2021,1236
Banwa,riz,pure,2012,1829
Banwa,riz,pure,2013,1643
Banwa,riz,pure,2014,1426
Banwa,riz,pure,2015,1442
Banwa,riz,pure,2016,1611
Banwa,riz,pure,2017,1056
Banwa,riz,pure,2018,1377
Banwa,riz,pure,2019,1239
Banwa,riz,pure,2020,1845
Banwa,riz,pure,2021,1474
Kossi,riz,pure,2012,1439
Kossi,riz,pure,2013,456
Kossi,riz,pure,2014,1461
Kossi,riz,pure,2015,1133
Kossi,riz,pure,2016,717
Kossi,riz,pure,2017,1567
Kossi,riz,pure,2018,668
Kossi,riz,pure,2019,1346
Kossi,riz,pure,2020,1191
Kossi,riz,pure,2021,736
Mouhoun,riz,pure,2012,1501
Mouhoun,riz,pure,2013,993
Mouhoun,riz,pure,2014,2265
Mouhoun,riz,pure,2015,2657
Mouhoun,riz,pure,2016,1582
Mouhoun,riz,pure,2017,1759
Mouhoun,riz,pure,2018,1870
Mouhoun,riz,pure,2019,2566
Mouhoun,riz,pure,2020,1582
Mouhoun,riz,pure,2021,1334
Nayala,riz,pure,2012,2614
Nayala,riz,pure,2013,827
Nayala,riz,pure,2014,967
Nayala,riz,pure,2015,1666
Nayala,riz,pure,2016,849
Nayala,riz,pure,2017,813
Nayala,riz,pure,2018,1631
Nayala,riz,pure,2019,782
Nayala,riz,pure,2020,1508
Nayala,riz,pure,2021,2106
Sourou,riz,pure,2012,2240
Sourou,riz,pure,2013,1837
Sourou,riz,pure,2014,1106
Sourou,riz,pure,2015,
Sourou,riz,pure,2016,1865
Sourou,riz,pure,2017,1004
Sourou,riz,pure,2018,
Sourou,riz,pure,2019,540
Sourou,riz,pure,2020,1426
Sourou,riz,pure,2021,518
Comoe,riz,pure,2012,1404
Comoe,riz,pure,2013,1248
Comoe,riz,pure,2014,1004
Comoe,riz,pure,2015,1168
Comoe,riz,pure,2016,1491
Comoe,riz,pure,2017,1530
Comoe,riz,pure,2018,1353
Comoe,riz,pure,2019,1260
Comoe,riz,pure,2020,1559
Comoe,riz,pure,2021,1930
Leraba,riz,pure,2012,1403
Leraba,riz,pure,2013,1246
Leraba,riz,pure,2014,1679
Leraba,riz,pure,2015,1282
Leraba,riz,pure,2016,1712
Leraba,riz,pure,2017,1070
Leraba,riz,pure,2018,1341
Leraba,riz,pure,2019,1842
Leraba,riz,pure,2020,1279
Leraba,riz,pure,2021,1289
Kadiogo,riz,pure,2012,1742
Kadiogo,riz,pure,2013,2060
Kadiogo,riz,pure,2014,3170
Kadiogo,riz,pure,2015,1960
Kadiogo,riz,pure,2016,2393
Kadiogo,riz,pure,2017,1865
Kadiogo,riz,pure,2018,1717
Kadiogo,riz,pure,2019,1674
Kadiogo,riz,pure,2020,1291
Kadiogo,riz,pure,2021,1051
Boulgou,riz,pure,2012,1288
Boulgou,riz,pure,2013,1053
Boulgou,riz,pure,2014,1851
Boulgou,riz,pure,2015,1441
Boulgou,riz,pure,2016,1585
Boulgou,riz,pure,2017,1254
Boulgou,riz,pure,2018,1678
Boulgou,riz,pure,2019,1491
Boulgou,riz,pure,2020,1350
Boulgou,riz,pure,2021,988
Koulpelogo,riz,pure,2012,1344
Koulpelogo,riz,pure,2013,1215
Koulpelogo,riz,pure,2014,994
Koulpelogo,riz,pure,2015,835
Koulpelogo,riz,pure,2016,1134
Koulpelogo,riz,pure,2017,1043
Koulpelogo,riz,pure,2018,1345
Koulpelogo,riz,pure,2019,1048
Koulpelogo,riz,pure,2020,1346
Koulpelogo,riz,pure,2021,788
Kouritenga,riz,pure,2012,1238
Kouritenga,riz,pure,2013,964
Kouritenga,riz,pure,2014,1567
Kouritenga,riz,pure,2015,985
Kouritenga,riz,pure,2016,1387
Kouritenga,riz,pure,2017,1057
Kouritenga,riz,pure,2018,1190
Kouritenga,riz,pure,2019,1526
Kouritenga,riz,pure,2020,1545
Kouritenga,riz,pure,2021,1239
Bam,riz,pure,2012,769
Bam,riz,pure,2013,983
