province,speculation,type_culture,year,rendement
Bale,sesame,pure,2012,554
Bale,sesame,pure,2013,835
Bale,sesame,pure,2014,399
Bale,sesame,pure,2015,452
Bale,sesame,pure,2016,352
Bale,sesame,pure,2017,278
Bale,sesame,pure,2018,396
Bale,sesame,pure,2019,297
Bale,sesame,pure,2020,730
Bale,sesame,pure,2021,546
Banwa,sesame,pure,2012,500
Banwa,sesame,pure,2013,664
Banwa,sesame,pure,2014,678
Banwa,sesame,pure,2015,490
Banwa,sesame,pure,2016,520
Banwa,sesame,pure,2017,425
Banwa,sesame,pure,2018,542
Banwa,sesame,pure,2019,823
Banwa,sesame,pure,2020,637
Banwa,sesame,pure,2021,525
Kossi,sesame,pure,2012,455
Kossi,sesame,pure,2013,617
Kossi,sesame,pure,2014,598
Kossi,sesame,pure,2015,594
Kossi,sesame,pure,2016,572
Kossi,sesame,pure,2017,614
Kossi,sesame,pure,2018,577
Kossi,sesame,pure,2019,587
Kossi,sesame,pure,2020,460
Kossi,sesame,pure,2021,340
Mouhoun,sesame,pure,2012,510
Mouhoun,sesame,pure,2013,616
Mouhoun,sesame,pure,2014,887
Mouhoun,sesame,pure,2015,384
Mouhoun,sesame,pure,2016,581
Mouhoun,sesame,pure,2017,547
Mouhoun,sesame,pure,2018,471
Mouhoun,sesame,pure,2019,519
Mouhoun,sesame,pure,2020,468
Mouhoun,sesame,pure,2021,404
Nayala,sesame,pure,2012,
Nayala,sesame,pure,2013,728
Nayala,sesame,pure,2014,376
Nayala,sesame,pure,2015,382
Nayala,sesame,pure,2016,297
Nayala,sesame,pure,2017,412
Nayala,sesame,pure,2018,563
Nayala,sesame,pure,2019,537
Nayala,sesame,pure,2020,440
Nayala,sesame,pure,2021,399
Sourou,sesame,pure,2012,696
Sourou,sesame,pure,2013,818
Sourou,sesame,pure,2014,524
Sourou,sesame,pure,2015,859
Sourou,sesame,pure,2016,130
Sourou,sesame,pure,2017,244
Sourou,sesame,pure,2018,587
Sourou,sesame,pure,2019,511
Sourou,sesame,pure,2020,536
Sourou,sesame,pure,2021,416
Comoe,sesame,pure,2012,576
Comoe,sesame,pure,2013,450
Comoe,sesame,pure,2014,557
Comoe,sesame,pure,2015,685
Comoe,sesame,pure,2016,505
Comoe,sesame,pure,2017,505
Comoe,sesame,pure,2018,486
Comoe,sesame,pure,2019,469
Comoe,sesame,pure,2020,572
Comoe,sesame,pure,2021,565
Leraba,sesame,pure,2012,704
Leraba,sesame,pure,2013,773
Leraba,sesame,pure,2014,548
Leraba,sesame,pure,2015,591
Leraba,sesame,pure,2016,537
Leraba,sesame,pure,2017,494
Leraba,sesame,pure,2018,500
Leraba,sesame,pure,2019,749
Leraba,sesame,pure,2020,564
Leraba,sesame,pure,2021,662
Kadiogo,sesame,pure,2012,669
Kadiogo,sesame,pure,2013,841
Kadiogo,sesame,pure,2014,849
Kadiogo,sesame,pure,2015,671
Kadiogo,sesame,pure,2016,796
Kadiogo,sesame,pure,2017,659
Kadiogo,sesame,pure,2018,615
Kadiogo,sesame,pure,2019,871
Kadiogo,sesame,pure,2020,587
Kadiogo,sesame,pure,2021,619
Boulgou,sesame,pure,2012,560
Boulgou,sesame,pure,2013,
Boulgou,sesame,pure,2014,557
Boulgou,sesame,pure,2015,289
Boulgou,sesame,pure,2016,508
Boulgou,sesame,pure,2017,623
Boulgou,sesame,pure,2018,625
Boulgou,sesame,pure,2019,742
Boulgou,sesame,pure,2020,974
Boulgou,sesame,pure,2021,654
Koulpelogo,sesame,pure,2012,720
Koulpelogo,sesame,pure,2013,760
Koulpelogo,sesame,pure,2014,651
Koulpelogo,sesame,pure,2015,644
Koulpelogo,sesame,pure,2016,852
Koulpelogo,sesame,pure,2017,625
Koulpelogo,sesame,pure,2018,518
Koulpelogo,sesame,pure,2019,742
Koulpelogo,sesame,pure,2020,480
Koulpelogo,sesame,pure,2021,419
Kouritenga,sesame,pure,2012,
Kouritenga,sesame,pure,2013,185
Kouritenga,sesame,pure,2014,966
Kouritenga,sesame,pure,2015,510
Kouritenga,sesame,pure,2016,547
Kouritenga,sesame,pure,2017,527
Kouritenga,sesame,pure,2018,620
Kouritenga,sesame,pure,2019,855
Kouritenga,sesame,pure,2020,299
Kouritenga,sesame,pure,2021,437
Bam,sesame,pure,2012,
Bam,sesame,pure,2013,131
Bam,sesame,pure,2014,567
Bam,sesame,pure,2015,302
Bam,sesame,pure,2016,324
Bam,sesame,pure,2017,278
Bam,sesame,pure,2018,401
Bam,sesame,pure,2019,682
Bam,sesame,pure,2020,661
Bam,sesame,pure,2021,169
Namentenga,sesame,pure,2012,269
Namentenga,sesame,pure,2013,380
Namentenga,sesame,pure,2014,168
Namentenga,sesame,pure,2015,437
Namentenga,sesame,pure,2016,494
Namentenga,sesame,pure,2017,266
Namentenga,sesame,pure,2018,524
Namentenga,sesame,pure,2019,591
Namentenga,sesame,pure,2020,694
Namentenga,sesame,pure,2021,475
Sanmatenga,sesame,pure,2012,400
Sanmatenga,sesame,pure,2013,800
Sanmatenga,sesame,pure,2014,462
Sanmatenga,sesame,pure,2015,419
Sanmatenga,sesame,pure,2016,470
Sanmatenga,sesame,pure,2017,310
Sanmatenga,sesame,pure,2018,905
Sanmatenga,sesame,pure,2019,486
Sanmatenga,sesame,pure,2020,649
Sanmatenga,sesame,pure,2021,341
Boulkiemde,sesame,pure,2012,138
Boulkiemde,sesame,pure,2013,115
Boulkiemde,sesame,pure,2014,424
Boulkiemde,sesame,pure,2015,395
Boulkiemde,sesame,pure,2016,400
Boulkiemde,sesame,pure,2017,428
Boulkiemde,sesame,pure,2018,448
Boulkiemde,sesame,pure,2019,330
Boulkiemde,sesame,pure,2020,366
Boulkiemde,sesame,pure,2021,207
Sanguie,sesame,pure,2012,533
Sanguie,sesame,pure,2013,372
Sanguie,sesame,pure,2014,433
Sanguie,sesame,pure,2015,468
Sanguie,sesame,pure,2016,523
Sanguie,sesame,pure,2017,161
Sanguie,sesame,pure,2018,809
Sanguie,sesame,pure,2019,775
Sanguie,sesame,pure,2020,489
Sanguie,sesame,pure,2021,612
Sissili,sesame,pure,2012,594
Sissili,sesame,pure,2013,647
Sissili,sesame,pure,2014,532
Sissili,sesame,pure,2015,697
Sissili,sesame,pure,2016,513
Sissili,sesame,pure,2017,671
Sissili,sesame,pure,2018,626
Sissili,sesame,pure,2019,496
Sissili,sesame,pure,2020,607
Sissili,sesame,pure,2021,459
Ziro,sesame,pure,2012,577
Ziro,sesame,pure,2013,624
Ziro,sesame,pure,2014,827
Ziro,sesame,pure,2015,585
Ziro,sesame,pure,2016,516
Ziro,sesame,pure,2017,570
Ziro,sesame,pure,2018,527
Ziro,sesame,pure,2019,548
Ziro,sesame,pure,2020,494
Ziro,sesame,pure,2021,483
Bazega,sesame,pure,2012,480
Bazega,sesame,pure,2013,523
Bazega,sesame,pure,2014,556
Bazega,sesame,pure,2015,764
Bazega,sesame,pure,2016,582
Bazega,sesame,pure,2017,862
Bazega,sesame,pure,2018,1038
Bazega,sesame,pure,2019,674
Bazega,sesame,pure,2020,517
Bazega,sesame,pure,2021,391
Nahouri,sesame,pure,2012,506
Nahouri,sesame,pure,2013,556
Nahouri,sesame,pure,2014,530
Nahouri,sesame,pure,2015,610
Nahouri,sesame,pure,2016,541
Nahouri,sesame,pure,2017,675
Nahouri,sesame,pure,2018,649
Nahouri,sesame,pure,2019,582
Nahouri,sesame,pure,2020,606
Nahouri,sesame,pure,2021,442
Zoundweogo,sesame,pure,2012,592
Zoundweogo,sesame,pure,2013,129
Zoundweogo,sesame,pure,2014,351
Zoundweogo,sesame,pure,2015,428
Zoundweogo,sesame,pure,2016,522
Zoundweogo,sesame,pure,2017,310
Zoundweogo,sesame,pure,2018,643
Zoundweogo,sesame,pure,2019,831
Zoundweogo,sesame,pure,2020,628
Zoundweogo,sesame,pure,2021,542
Gnagna,sesame,pure,2012,544
Gnagna,sesame,pure,2013,478
Gnagna,sesame,pure,2014,344
Gnagna,sesame,pure,2015,336
Gnagna,sesame,pure,2016,474
Gnagna,sesame,pure,2017,386
