province,speculation,type_culture,year,rendement
Bale,soja,pure,2012,
Bale,soja,pure,2013,
Bale,soja,pure,2014,
Bale,soja,pure,2015,
Bale,soja,pure,2016,80
Bale,soja,pure,2017,
Bale,soja,pure,2018,
Bale,soja,pure,2019,360
Bale,soja,pure,2020,480
Bale,soja,pure,2021,460
Banwa,soja,pure,2012,220
Banwa,soja,pure,2013,480
Banwa,soja,pure,2014,869
Banwa,soja,pure,2015,334
Banwa,soja,pure,2016,748
Banwa,soja,pure,2017,433
Banwa,soja,pure,2018,576
Banwa,soja,pure,2019,505
Banwa,soja,pure,2020,1367
Banwa,soja,pure,2021,826
Kossi,soja,pure,2012,
Kossi,soja,pure,2013,
Kossi,soja,pure,2014,496
Kossi,soja,pure,2015,371
Kossi,soja,pure,2016,80
Kossi,soja,pure,2017,600
Kossi,soja,pure,2018,694
Kossi,soja,pure,2019,589
Kossi,soja,pure,2020,650
Kossi,soja,pure,2021,650
Mouhoun,soja,pure,2012,600
Mouhoun,soja,pure,2013,560
Mouhoun,soja,pure,2014,608
Mouhoun,soja,pure,2015,972
Mouhoun,soja,pure,2016,653
Mouhoun,soja,pure,2017,655
Mouhoun,soja,pure,2018,945
Mouhoun,soja,pure,2019,1225
Mouhoun,soja,pure,2020,955
Mouhoun,soja,pure,2021,744
Nayala,soja,pure,2012,0
Nayala,soja,pure,2013,0
Nayala,soja,pure,2014,0
Nayala,soja,pure,2015,0
Nayala,soja,pure,2016,0
Nayala,soja,pure,2017,0
Nayala,soja,pure,2018,0
Nayala,soja,pure,2019,0
Nayala,soja,pure,2020,0
Nayala,soja,pure,2021,
Sourou,soja,pure,2012,
Sourou,soja,pure,2013,
Sourou,soja,pure,2014,
Sourou,soja,pure,2015,
Sourou,soja,pure,2016,
Sourou,soja,pure,2017,
Sourou,soja,pure,2018,1483
Sourou,soja,pure,2019,
Sourou,soja,pure,2020,
Sourou,soja,pure,2021,
Comoe,soja,pure,2012,
Comoe,soja,pure,2013,
Comoe,soja,pure,2014,1173
Comoe,soja,pure,2015,158
Comoe,soja,pure,2016,1020
Comoe,soja,pure,2017,556
Comoe,soja,pure,2018,363
Comoe,soja,pure,2019,391
Comoe,soja,pure,2020,1638
Comoe,soja,pure,2021,1017
Leraba,soja,pure,2012,440
Leraba,soja,pure,2013,
Leraba,soja,pure,2014,
Leraba,soja,pure,2015,1600
Leraba,soja,pure,2016,704
Leraba,soja,pure,2017,410
Leraba,soja,pure,2018,
Leraba,soja,pure,2019,1773
Leraba,soja,pure,2020,
Leraba,soja,pure,2021,
Kadiogo,soja,pure,2012,
Kadiogo,soja,pure,2013,
Kadiogo,soja,pure,2014,
Kadiogo,soja,pure,2015,2000
Kadiogo,soja,pure,2016,583
Kadiogo,soja,pure,2017,
Kadiogo,soja,pure,2018,
Kadiogo,soja,pure,2019,
Kadiogo,soja,pure,2020,520
Kadiogo,soja,pure,2021,
Boulgou,soja,pure,2012,1105
Boulgou,soja,pure,2013,1113
Boulgou,soja,pure,2014,841
Boulgou,soja,pure,2015,491
Boulgou,soja,pure,2016,1805
Boulgou,soja,pure,2017,777
Boulgou,soja,pure,2018,928
Boulgou,soja,pure,2019,873
Boulgou,soja,pure,2020,1312
Boulgou,soja,pure,2021,900
Koulpelogo,soja,pure,2012,826
Koulpelogo,soja,pure,2013,1035
Koulpelogo,soja,pure,2014,1191
Koulpelogo,soja,pure,2015,744
Koulpelogo,soja,pure,2016,814
Koulpelogo,soja,pure,2017,1022
Koulpelogo,soja,pure,2018,1001
Koulpelogo,soja,pure,2019,1329
Koulpelogo,soja,pure,2020,985
Koulpelogo,soja,pure,2021,847
Kouritenga,soja,pure,2012,
Kouritenga,soja,pure,2013,1085
Kouritenga,soja,pure,2014,878
Kouritenga,soja,pure,2015,144
Kouritenga,soja,pure,2016,858
Kouritenga,soja,pure,2017,635
Kouritenga,soja,pure,2018,783
Kouritenga,soja,pure,2019,1480
Kouritenga,soja,pure,2020,560
Kouritenga,soja,pure,2021,840
Bam,soja,pure,2012,0
Bam,soja,pure,2013,0
Bam,soja,pure,2014,0
Bam,soja,pure,2015,0
Bam,soja,pure,2016,0
Bam,soja,pure,2017,0
Bam,soja,pure,2018,0
Bam,soja,pure,2019,0
Bam,soja,pure,2020,0
Bam,soja,pure,2021,
Namentenga,soja,pure,2012,0
Namentenga,soja,pure,2013,0
Namentenga,soja,pure,2014,0
Namentenga,soja,pure,2015,0
Namentenga,soja,pure,2016,0
Namentenga,soja,pure,2017,0
Namentenga,soja,pure,2018,0
Namentenga,soja,pure,2019,0
Namentenga,soja,pure,2020,0
Namentenga,soja,pure,2021,
Sanmatenga,soja,pure,2012,125
Sanmatenga,soja,pure,2013,
Sanmatenga,soja,pure,2014,
Sanmatenga,soja,pure,2015,1240
Sanmatenga,soja,pure,2016,
Sanmatenga,soja,pure,2017,
Sanmatenga,soja,pure,2018,
Sanmatenga,soja,pure,2019,
Sanmatenga,soja,pure,2020,
Sanmatenga,soja,pure,2021,
Boulkiemde,soja,pure,2012,
Boulkiemde,soja,pure,2013,
Boulkiemde,soja,pure,2014,
Boulkiemde,soja,pure,2015,
Boulkiemde,soja,pure,2016,
Boulkiemde,soja,pure,2017,
Boulkiemde,soja,pure,2018,
