province,speculation,type_culture,year,rendement
Bale,sorgho blanc,pure,2012,1279
Bale,sorgho blanc,pure,2013,1460
Bale,sorgho blanc,pure,2014,1068
Bale,sorgho blanc,pure,2015,1155
Bale,sorgho blanc,pure,2016,1177
Bale,sorgho blanc,pure,2017,955
Bale,sorgho blanc,pure,2018,1179
Bale,sorgho blanc,pure,2019,958
Bale,sorgho blanc,pure,2020,1217
Bale,sorgho blanc,pure,2021,1003
Banwa,sorgho blanc,pure,2012,1017
Banwa,sorgho blanc,pure,2013,1191
Banwa,sorgho blanc,pure,2014,1149
Banwa,sorgho blanc,pure,2015,1000
Banwa,sorgho blanc,pure,2016,797
Banwa,sorgho blanc,pure,2017,671
Banwa,sorgho blanc,pure,2018,1080
Banwa,sorgho blanc,pure,2019,1011
Banwa,sorgho blanc,pure,2020,1219
Banwa,sorgho blanc,pure,2021,1013
Kossi,sorgho blanc,pure,2012,1081
Kossi,sorgho blanc,pure,2013,1203
Kossi,sorgho blanc,pure,2014,963
Kossi,sorgho blanc,pure,2015,1119
Kossi,sorgho blanc,pure,2016,1006
Kossi,sorgho blanc,pure,2017,1021
Kossi,sorgho blanc,pure,2018,1133
Kossi,sorgho blanc,pure,2019,1109
Kossi,sorgho blanc,pure,2020,923
Kossi,sorgho blanc,pure,2021,832
Mouhoun,sorgho blanc,pure,2012,1267
Mouhoun,sorgho blanc,pure,2013,1042
Mouhoun,sorgho blanc,pure,2014,1146
Mouhoun,sorgho blanc,pure,2015,1174
Mouhoun,sorgho blanc,pure,2016,1046
Mouhoun,sorgho blanc,pure,2017,986
Mouhoun,sorgho blanc,pure,2018,980
Mouhoun,sorgho blanc,pure,2019,1077
Mouhoun,sorgho blanc,pure,2020,1225
Mouhoun,sorgho blanc,pure,2021,999
Nayala,sorgho blanc,pure,2012,1074
Nayala,sorgho blanc,pure,2013,1235
Nayala,sorgho blanc,pure,2014,917
Nayala,sorgho blanc,pure,2015,783
Nayala,sorgho blanc,pure,2016,810
Nayala,sorgho blanc,pure,2017,703
Nayala,sorgho blanc,pure,2018,996
Nayala,sorgho blanc,pure,2019,875
Nayala,sorgho blanc,pure,2020,791
Nayala,sorgho blanc,pure,2021,981
Sourou,sorgho blanc,pure,2012,1171
Sourou,sorgho blanc,pure,2013,1117
Sourou,sorgho blanc,pure,2014,1316
Sourou,sorgho blanc,pure,2015,1349
Sourou,sorgho blanc,pure,2016,1007
Sourou,sorgho blanc,pure,2017,529
Sourou,sorgho blanc,pure,2018,606
Sourou,sorgho blanc,pure,2019,1189
Sourou,sorgho blanc,pure,2020,743
Sourou,sorgho blanc,pure,2021,909
Comoe,sorgho blanc,pure,2012,1116
Comoe,sorgho blanc,pure,2013,880
Comoe,sorgho blanc,pure,2014,1138
Comoe,sorgho blanc,pure,2015,981
Comoe,sorgho blanc,pure,2016,1278
Comoe,sorgho blanc,pure,2017,1256
Comoe,sorgho blanc,pure,2018,988
Comoe,sorgho blanc,pure,2019,1055
Comoe,sorgho blanc,pure,2020,745
Comoe,sorgho blanc,pure,2021,818
Leraba,sorgho blanc,pure,2012,1158
Leraba,sorgho blanc,pure,2013,1467
Leraba,sorgho blanc,pure,2014,706
Leraba,sorgho blanc,pure,2015,1173
Leraba,sorgho blanc,pure,2016,1009
