province,speculation,type_culture,year,rendement
Bale,sorgho rouge,pure,2012,1397
Bale,sorgho rouge,pure,2013,1476
Bale,sorgho rouge,pure,2014,1014
Bale,sorgho rouge,pure,2015,1508
Bale,sorgho rouge,pure,2016,1713
Bale,sorgho rouge,pure,2017,870
Bale,sorgho rouge,pure,2018,867
Bale,sorgho rouge,pure,2019,1074
Bale,sorgho rouge,pure,2020,1290
Bale,sorgho rouge,pure,2021,1068
Banwa,sorgho rouge,pure,2012,1170
Banwa,sorgho rouge,pure,2013,731
Banwa,sorgho rouge,pure,2014,1409
Banwa,sorgho rouge,pure,2015,1679
Banwa,sorgho rouge,pure,2016,890
Banwa,sorgho rouge,pure,2017,657
Banwa,sorgho rouge,pure,2018,1024
Banwa,sorgho rouge,pure,2019,1089
Banwa,sorgho rouge,pure,2020,1750
Banwa,sorgho rouge,pure,2021,1428
Kossi,sorgho rouge,pure,2012,786
Kossi,sorgho rouge,pure,2013,885
Kossi,sorgho rouge,pure,2014,975
Kossi,sorgho rouge,pure,2015,1063
Kossi,sorgho rouge,pure,2016,441
Kossi,sorgho rouge,pure,2017,1006
Kossi,sorgho rouge,pure,2018,953
Kossi,sorgho rouge,pure,2019,1285
Kossi,sorgho rouge,pure,2020,898
Kossi,sorgho rouge,pure,2021,1356
Mouhoun,sorgho rouge,pure,2012,1440
Mouhoun,sorgho rouge,pure,2013,934
Mouhoun,sorgho rouge,pure,2014,981
Mouhoun,sorgho rouge,pure,2015,1177
Mouhoun,sorgho rouge,pure,2016,1131
Mouhoun,sorgho rouge,pure,2017,1180
Mouhoun,sorgho rouge,pure,2018,1018
Mouhoun,sorgho rouge,pure,2019,1128
Mouhoun,sorgho rouge,pure,2020,1296
Mouhoun,sorgho rouge,pure,2021,1270
Nayala,sorgho rouge,pure,2012,520
Nayala,sorgho rouge,pure,2013,1600
Nayala,sorgho rouge,pure,2014,898
Nayala,sorgho rouge,pure,2015,690
Nayala,sorgho rouge,pure,2016,799
Nayala,sorgho rouge,pure,2017,610
Nayala,sorgho rouge,pure,2018,995
Nayala,sorgho rouge,pure,2019,926
Nayala,sorgho rouge,pure,2020,790
Nayala,sorgho rouge,pure,2021,821
Sourou,sorgho rouge,pure,2012,
Sourou,sorgho rouge,pure,2013,923
Sourou,sorgho rouge,pure,2014,1467
Sourou,sorgho rouge,pure,2015,
Sourou,sorgho rouge,pure,2016,
Sourou,sorgho rouge,pure,2017,
Sourou,sorgho rouge,pure,2018,
Sourou,sorgho rouge,pure,2019,
Sourou,sorgho rouge,pure,2020,
Sourou,sorgho rouge,pure,2021,922
Comoe,sorgho rouge,pure,2012,1260
Comoe,sorgho rouge,pure,2013,1266
Comoe,sorgho rouge,pure,2014,1856
Comoe,sorgho rouge,pure,2015,1317
Comoe,sorgho rouge,pure,2016,1354
Comoe,sorgho rouge,pure,2017,1406
Comoe,sorgho rouge,pure,2018,1455
Comoe,sorgho rouge,pure,2019,1454
Comoe,sorgho rouge,pure,2020,996
Comoe,sorgho rouge,pure,2021,983
Leraba,sorgho rouge,pure,2012,1180
Leraba,sorgho rouge,pure,2013,
Leraba,sorgho rouge,pure,2014,884
Leraba,sorgho rouge,pure,2015,1152
Leraba,sorgho rouge,pure,2016,1080
Leraba,sorgho rouge,pure,2017,1091
Leraba,sorgho rouge,pure,2018,1452
Leraba,sorgho rouge,pure,2019,1327
Leraba,sorgho rouge,pure,2020,954
Leraba,sorgho rouge,pure,2021,
Kadiogo,sorgho rouge,pure,2012,1270
Kadiogo,sorgho rouge,pure,2013,1362
Kadiogo,sorgho rouge,pure,2014,1185
Kadiogo,sorgho rouge,pure,2015,846
Kadiogo,sorgho rouge,pure,2016,1048
Kadiogo,sorgho rouge,pure,2017,1114
Kadiogo,sorgho rouge,pure,2018,1079
Kadiogo,sorgho rouge,pure,2019,1732
Kadiogo,sorgho rouge,pure,2020,1092
Kadiogo,sorgho rouge,pure,2021,1305
Boulgou,sorgho rouge,pure,2012,1226
Boulgou,sorgho rouge,pure,2013,1205
Boulgou,sorgho rouge,pure,2014,1488
Boulgou,sorgho rouge,pure,2015,1264
Boulgou,sorgho rouge,pure,2016,1329
Boulgou,sorgho rouge,pure,2017,1482
Boulgou,sorgho rouge,pure,2018,1306
Boulgou,sorgho rouge,pure,2019,1161
Boulgou,sorgho rouge,pure,2020,1492
Boulgou,sorgho rouge,pure,2021,1374
Koulpelogo,sorgho rouge,pure,2012,1179
Koulpelogo,sorgho rouge,pure,2013,981
Koulpelogo,sorgho rouge,pure,2014,1441
Koulpelogo,sorgho rouge,pure,2015,1293
Koulpelogo,sorgho rouge,pure,2016,1451
Koulpelogo,sorgho rouge,pure,2017,1152
Koulpelogo,sorgho rouge,pure,2018,1237
Koulpelogo,sorgho rouge,pure,2019,1257
Koulpelogo,sorgho rouge,pure,2020,1176
Koulpelogo,sorgho rouge,pure,2021,1237
Kouritenga,sorgho rouge,pure,2012,1080
Kouritenga,sorgho rouge,pure,2013,1266
Kouritenga,sorgho rouge,pure,2014,1658
Kouritenga,sorgho rouge,pure,2015,1052
Kouritenga,sorgho rouge,pure,2016,1380
Kouritenga,sorgho rouge,pure,2017,1180
Kouritenga,sorgho rouge,pure,2018,1317
Kouritenga,sorgho rouge,pure,2019,1430
Kouritenga,sorgho rouge,pure,2020,1139
Kouritenga,sorgho rouge,pure,2021,1140
Bam,sorgho rouge,pure,2012,
Bam,sorgho rouge,pure,2013,
Bam,sorgho rouge,pure,2014,
Bam,sorgho rouge,pure,2015,
Bam,sorgho rouge,pure,2016,
Bam,sorgho rouge,pure,2017,360
Bam,sorgho rouge,pure,2018,
Bam,sorgho rouge,pure,2019,
Bam,sorgho rouge,pure,2020,840
Bam,sorgho rouge,pure,2021,1400
Namentenga,sorgho rouge,pure,2012,1160
Namentenga,sorgho rouge,pure,2013,
Namentenga,sorgho rouge,pure,2014,1616
Namentenga,sorgho rouge,pure,2015,
Namentenga,sorgho rouge,pure,2016,1451
Namentenga,sorgho rouge,pure,2017,
Namentenga,sorgho rouge,pure,2018,1650
Namentenga,sorgho rouge,pure,2019,
Namentenga,sorgho rouge,pure,2020,451
Namentenga,sorgho rouge,pure,2021,480
Sanmatenga,sorgho rouge,pure,2012,920
Sanmatenga,sorgho rouge,pure,2013,
Sanmatenga,sorgho rouge,pure,2014,938
Sanmatenga,sorgho rouge,pure,2015,200
Sanmatenga,sorgho rouge,pure,2016,729
Sanmatenga,sorgho rouge,pure,2017,294
Sanmatenga,sorgho rouge,pure,2018,800
Sanmatenga,sorgho rouge,pure,2019,674
Sanmatenga,sorgho rouge,pure,2020,780
Sanmatenga,sorgho rouge,pure,2021,457
Boulkiemde,sorgho rouge,pure,2012,749
Boulkiemde,sorgho rouge,pure,2013,859
Boulkiemde,sorgho rouge,pure,2014,968
Boulkiemde,sorgho rouge,pure,2015,577
Boulkiemde,sorgho rouge,pure,2016,957
Boulkiemde,sorgho rouge,pure,2017,424
Boulkiemde,sorgho rouge,pure,2018,899
Boulkiemde,sorgho rouge,pure,2019,810
Boulkiemde,sorgho rouge,pure,2020,1202
Boulkiemde,sorgho rouge,pure,2021,773
Sanguie,sorgho rouge,pure,2012,1173
Sanguie,sorgho rouge,pure,2013,1070
Sanguie,sorgho rouge,pure,2014,719
Sanguie,sorgho rouge,pure,2015,1654
Sanguie,sorgho rouge,pure,2016,1114
Sanguie,sorgho rouge,pure,2017,1068
Sanguie,sorgho rouge,pure,2018,1458
Sanguie,sorgho rouge,pure,2019,936
Sanguie,sorgho rouge,pure,2020,735
Sanguie,sorgho rouge,pure,2021,486
Sissili,sorgho rouge,pure,2012,1286
Sissili,sorgho rouge,pure,2013,1064
