province,speculation,type_culture,year,rendement
Bale,voandzou,pure,2012,
Bale,voandzou,pure,2013,1500
Bale,voandzou,pure,2014,415
Bale,voandzou,pure,2015,360
Bale,voandzou,pure,2016,104
Bale,voandzou,pure,2017,811
Bale,voandzou,pure,2018,1307
Bale,voandzou,pure,2019,648
Bale,voandzou,pure,2020,1192
Bale,voandzou,pure,2021,719
Banwa,voandzou,pure,2012,752
Banwa,voandzou,pure,2013,799
Banwa,voandzou,pure,2014,1320
Banwa,voandzou,pure,2015,1018
Banwa,voandzou,pure,2016,1023
Banwa,voandzou,pure,2017,521
Banwa,voandzou,pure,2018,1075
Banwa,voandzou,pure,2019,1020
Banwa,voandzou,pure,2020,1282
Banwa,voandzou,pure,2021,926
Kossi,voandzou,pure,2012,827
Kossi,voandzou,pure,2013,803
Kossi,voandzou,pure,2014,709
Kossi,voandzou,pure,2015,730
Kossi,voandzou,pure,2016,772
Kossi,voandzou,pure,2017,836
Kossi,voandzou,pure,2018,926
Kossi,voandzou,pure,2019,862
Kossi,voandzou,pure,2020,826
Kossi,voandzou,pure,2021,497
Mouhoun,voandzou,pure,2012,848
Mouhoun,voandzou,pure,2013,658
Mouhoun,voandzou,pure,2014,1246
Mouhoun,voandzou,pure,2015,978
Mouhoun,voandzou,pure,2016,1010
Mouhoun,voandzou,pure,2017,770
Mouhoun,voandzou,pure,2018,1020
Mouhoun,voandzou,pure,2019,1192
Mouhoun,voandzou,pure,2020,834
Mouhoun,voandzou,pure,2021,570
Nayala,voandzou,pure,2012,
Nayala,voandzou,pure,2013,
Nayala,voandzou,pure,2014,371
Nayala,voandzou,pure,2015,667
Nayala,voandzou,pure,2016,1340
Nayala,voandzou,pure,2017,1185
Nayala,voandzou,pure,2018,1235
Nayala,voandzou,pure,2019,1150
Nayala,voandzou,pure,2020,596
Nayala,voandzou,pure,2021,608
Sourou,voandzou,pure,2012,830
Sourou,voandzou,pure,2013,1102
Sourou,voandzou,pure,2014,823
Sourou,voandzou,pure,2015,1158
Sourou,voandzou,pure,2016,407
Sourou,voandzou,pure,2017,610
Sourou,voandzou,pure,2018,878
Sourou,voandzou,pure,2019,563
Sourou,voandzou,pure,2020,898
Sourou,voandzou,pure,2021,658
Comoe,voandzou,pure,2012,809
Comoe,voandzou,pure,2013,948
Comoe,voandzou,pure,2014,1076
Comoe,voandzou,pure,2015,961
Comoe,voandzou,pure,2016,741
Comoe,voandzou,pure,2017,1078
Comoe,voandzou,pure,2018,1174
Comoe,voandzou,pure,2019,1014
Comoe,voandzou,pure,2020,1042
Comoe,voandzou,pure,2021,1009
Leraba,voandzou,pure,2012,888
Leraba,voandzou,pure,2013,1114
Leraba,voandzou,pure,2014,1265
Leraba,voandzou,pure,2015,1200
Leraba,voandzou,pure,2016,1223
Leraba,voandzou,pure,2017,1076
Leraba,voandzou,pure,2018,1338
Leraba,voandzou,pure,2019,1237
Leraba,voandzou,pure,2020,824
Leraba,voandzou,pure,2021,850
Kadiogo,voandzou,pure,2012,726
Kadiogo,voandzou,pure,2013,843
Kadiogo,voandzou,pure,2014,1231
Kadiogo,voandzou,pure,2015,937
Kadiogo,voandzou,pure,2016,955
Kadiogo,voandzou,pure,2017,828
Kadiogo,voandzou,pure,2018,1068
Kadiogo,voandzou,pure,2019,1040
Kadiogo,voandzou,pure,2020,987
Kadiogo,voandzou,pure,2021,867
Boulgou,voandzou,pure,2012,788
Boulgou,voandzou,pure,2013,791
Boulgou,voandzou,pure,2014,1449
Boulgou,voandzou,pure,2015,601
Boulgou,voandzou,pure,2016,798
Boulgou,voandzou,pure,2017,1236
Boulgou,voandzou,pure,2018,1162
Boulgou,voandzou,pure,2019,732
Boulgou,voandzou,pure,2020,943
Boulgou,voandzou,pure,2021,533
Koulpelogo,voandzou,pure,2012,707
Koulpelogo,voandzou,pure,2013,1187
Koulpelogo,voandzou,pure,2014,665
Koulpelogo,voandzou,pure,2015,665
Koulpelogo,voandzou,pure,2016,817
Koulpelogo,voandzou,pure,2017,249
Koulpelogo,voandzou,pure,2018,974
Koulpelogo,voandzou,pure,2019,817
Koulpelogo,voandzou,pure,2020,904
Koulpelogo,voandzou,pure,2021,1124
Kouritenga,voandzou,pure,2012,1080
Kouritenga,voandzou,pure,2013,1219
Kouritenga,voandzou,pure,2014,1698
Kouritenga,voandzou,pure,2015,1064
Kouritenga,voandzou,pure,2016,1190
Kouritenga,voandzou,pure,2017,1013
Kouritenga,voandzou,pure,2018,976
Kouritenga,voandzou,pure,2019,1128
Kouritenga,voandzou,pure,2020,1056
Kouritenga,voandzou,pure,2021,748
Bam,voandzou,pure,2012,673
Bam,voandzou,pure,2013,569
Bam,voandzou,pure,2014,511
Bam,voandzou,pure,2015,683
Bam,voandzou,pure,2016,535
Bam,voandzou,pure,2017,502
Bam,voandzou,pure,2018,648
Bam,voandzou,pure,2019,543
Bam,voandzou,pure,2020,950
Bam,voandzou,pure,2021,411
Namentenga,voandzou,pure,2012,497
Namentenga,voandzou,pure,2013,749
Namentenga,voandzou,pure,2014,623
Namentenga,voandzou,pure,2015,807
Namentenga,voandzou,pure,2016,333
Namentenga,voandzou,pure,2017,436
Namentenga,voandzou,pure,2018,725
Namentenga,voandzou,pure,2019,593
Namentenga,voandzou,pure,2020,773
Namentenga,voandzou,pure,2021,890
Sanmatenga,voandzou,pure,2012,1000
Sanmatenga,voandzou,pure,2013,666
Sanmatenga,voandzou,pure,2014,960
Sanmatenga,voandzou,pure,2015,853
Sanmatenga,voandzou,pure,2016,770
Sanmatenga,voandzou,pure,2017,491
Sanmatenga,voandzou,pure,2018,1012
Sanmatenga,voandzou,pure,2019,618
Sanmatenga,voandzou,pure,2020,840
Sanmatenga,voandzou,pure,2021,460
Boulkiemde,voandzou,pure,2012,592
Boulkiemde,voandzou,pure,2013,417
Boulkiemde,voandzou,pure,2014,832
Boulkiemde,voandzou,pure,2015,865
Boulkiemde,voandzou,pure,2016,717
Boulkiemde,voandzou,pure,2017,546
Boulkiemde,voandzou,pure,2018,914
Boulkiemde,voandzou,pure,2019,692
Boulkiemde,voandzou,pure,2020,782
Boulkiemde,voandzou,pure,2021,421
Sanguie,voandzou,pure,2012,836
Sanguie,voandzou,pure,2013,906
Sanguie,voandzou,pure,2014,811
Sanguie,voandzou,pure,2015,592
Sanguie,voandzou,pure,2016,624
Sanguie,voandzou,pure,2017,686
Sanguie,voandzou,pure,2018,1019
Sanguie,voandzou,pure,2019,741
Sanguie,voandzou,pure,2020,643
Sanguie,voandzou,pure,2021,390
Sissili,voandzou,pure,2012,620
Sissili,voandzou,pure,2013,419
Sissili,voandzou,pure,2014,841
Sissili,voandzou,pure,2015,1055
Sissili,voandzou,pure,2016,1107
Sissili,voandzou,pure,2017,770
Sissili,voandzou,pure,2018,870
Sissili,voandzou,pure,2019,1035
Sissili,voandzou,pure,2020,816
Sissili,voandzou,pure,2021,548
Ziro,voandzou,pure,2012,880
Ziro,voandzou,pure,2013,1010
Ziro,voandzou,pure,2014,1268
Ziro,voandzou,pure,2015,701
Ziro,voandzou,pure,2016,841
Ziro,voandzou,pure,2017,527
Ziro,voandzou,pure,2018,856
Ziro,voandzou,pure,2019,726
Ziro,voandzou,pure,2020,853
Ziro,voandzou,pure,2021,789
Bazega,voandzou,pure,2012,744
Bazega,voandzou,pure,2013,897
Bazega,voandzou,pure,2014,1006
Bazega,voandzou,pure,2015,939
Bazega,voandzou,pure,2016,971
Bazega,voandzou,pure,2017,582
Bazega,voandzou,pure,2018,975
Bazega,voandzou,pure,2019,1024
Bazega,voandzou,pure,2020,957
Bazega,voandzou,pure,2021,706
Nahouri,voandzou,pure,2012,480
Nahouri,voandzou,pure,2013,
Nahouri,voandzou,pure,2014,1512
Nahouri,voandzou,pure,2015,1307
Nahouri,voandzou,pure,2016,1112
Nahouri,voandzou,pure,2017,1089
Nahouri,voandzou,pure,2018,1059
Nahouri,voandzou,pure,2019,1031
Nahouri,voandzou,pure,2020,940
Nahouri,voandzou,pure,2021,575
Zoundweogo,voandzou,pure,2012,430
Zoundweogo,voandzou,pure,2013,400
Zoundweogo,voandzou,pure,2014,1041
Zoundweogo,voandzou,pure,2015,1137
